"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"ford","c-max",4800,2006,"with mileage",220000,"petrol",1.8,"black","mechanics","front-wheel drive"
"mitsubishi","pajero",8700,2002,"with mileage",293566,"diesel",3.2,"silver","auto","part-time four-wheel drive"
"audi","a6-allroad",8500,2004,"with mileage",250800,"petrol",4.2,"black","auto","all-wheel drive"
"nissan","primera",1600,1998,"with mileage",285000,"diesel",2,"silver","mechanics","front-wheel drive"
"audi","a8",8100,2001,"with mileage",283100,"diesel",2.5,"black","auto","all-wheel drive"
"hyundai","santa-fe",24899,2016,"with mileage",85000,"diesel",2.2,"black","auto","all-wheel drive"
"volkswagen","transporter",6700,1997,"with mileage",325000,"diesel",2.4,"white","mechanics","front-wheel drive"
"hyundai","solaris",8000,2014,"with mileage",55000,"petrol",1.4,"white","auto","front-wheel drive"
"ford","fiesta",300,1991,"with mileage",60000,"petrol",1.3,"red","mechanics","front-wheel drive"
"skoda","rapid",7850,2016,"with mileage",69000,"petrol",1.6,"white","mechanics","front-wheel drive"
"citroen","c3",4000,2007,"with mileage",192000,"diesel",1.4,"silver","mechanics","front-wheel drive"
"gaz","21",1000,1960,"with mileage",1000,"petrol",2.432,"white","mechanics",""
"renault","laguna",2250,1996,"with mileage",434000,"petrol",1.8,"blue","mechanics","front-wheel drive"
"hyundai","lantra",850,1992,"with mileage",230040,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"citroen","xantia",1250,1999,"with mileage",256688,"petrol",2,"blue","mechanics","front-wheel drive"
"volkswagen","vento",2100,1993,"with mileage",350000,"petrol",1.8,"red","auto","front-wheel drive"
"kia","sorento",6500,2003,"with mileage",250000,"diesel",2.5,"silver","auto","part-time four-wheel drive"
"bmw","x5",7800,2002,"with mileage",418000,"diesel",3,"silver","mechanics","all-wheel drive"
"opel","vectra",3200,1997,"with mileage",337000,"petrol",1.8,"black","mechanics","front-wheel drive"
"ford","mondeo",4700,2004,"with mileage",424555,"diesel",2,"white","mechanics","front-wheel drive"
"audi","80",618,1989,"for parts",300000,"petrol",1.8,"black","mechanics","front-wheel drive"
"fiat","stilo",3200,2002,"with mileage",300000,"diesel",1.9,"other","mechanics","front-wheel drive"
"renault","laguna",900,1995,"with mileage",300000,"petrol",1.8,"black","mechanics","front-wheel drive"
"renault","grand-scenic",10999,2014,"with mileage",149000,"diesel",1.5,"black","mechanics","front-wheel drive"
"peugeot","407",5999,2008,"with mileage",130000,"petrol",1.8,"black","mechanics","front-wheel drive"
"opel","combo",5400,2010,"with mileage",346500,"diesel",1.3,"green","mechanics","front-wheel drive"
"lexus","rx",17900,2009,"with mileage",96.5604,"petrol",3.5,"silver","auto","all-wheel drive"
"volkswagen","jetta",894,1990,"with mileage",280846,"petrol",1.3,"blue","mechanics","front-wheel drive"
"ford","ranger",7606,2009,"with mileage",209400,"diesel",3,"white","mechanics","part-time four-wheel drive"
"renault","laguna",1100,1997,"with mileage",327000,"petrol",1.8,"blue","mechanics","front-wheel drive"
"mazda","626",2044,1997,"with mileage",310000,"petrol",1.8,"blue","mechanics","front-wheel drive"
"land-rover","discovery-sport",45900,2019,"with mileage",18,"petrol",2,"other","auto","all-wheel drive"
"mercedes-benz","e-klass",3200,1997,"with mileage",460000,"diesel",2.2,"blue","auto","rear drive"
"renault","laguna",1700,1995,"with mileage",180000,"petrol",1.8,"purple","mechanics","front-wheel drive"
"volvo","v40",1800,1996,"with mileage",332000,"petrol",1.8,"white","mechanics","front-wheel drive"
"renault","grand-espace",4200,2000,"with mileage",369000,"diesel",2.2,"silver","mechanics","front-wheel drive"
"infiniti","g",8999,2007,"with mileage",245000,"petrol",3.5,"gray","auto","all-wheel drive"
"volkswagen","touran",5999,2005,"with mileage",330000,"diesel",1.9,"gray","auto","front-wheel drive"
"volkswagen","sharan",16500,2012,"with mileage",323,"diesel",2,"brown","mechanics","front-wheel drive"
"toyota","avensis",3800,2002,"with mileage",322000,"diesel",2,"blue","mechanics","front-wheel drive"
"mitsubishi","asx",11600,2012,"with mileage",131000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"nissan","qashqai",12300,2011,"with mileage",201000,"diesel",1.5,"black","mechanics","front-wheel drive"
"volvo","v60",14000,2015,"with mileage",181000,"diesel",1.6,"blue","mechanics","front-wheel drive"
"opel","insignia",13850,2015,"with mileage",124000,"diesel",2,"black","auto","front-wheel drive"
"bmw","x1",12500,2011,"with mileage",260000,"diesel",2,"black","mechanics","rear drive"
"toyota","rav4",17000,2013,"with mileage",164500,"petrol",2,"silver","mechanics","front-wheel drive"
"citroen","c4",4000,2008,"with mileage",200000,"petrol",1.6,"black","auto","front-wheel drive"
"chrysler","pt-cruiser",3800,2003,"with mileage",240000,"petrol",2.4,"burgundy","auto","front-wheel drive"
"mazda","323f",1890,1995,"with mileage",300000,"petrol",1.5,"green","mechanics","front-wheel drive"
"mercedes-benz","e-klass",1100,1985,"with mileage",400000,"petrol",3,"black","mechanics","rear drive"
"bmw","5-seriya",4700,2000,"with mileage",400000,"diesel",2.5,"silver","mechanics","rear drive"
"opel","sintra",2600,1997,"with mileage",367943,"petrol",2.2,"green","mechanics","front-wheel drive"
"great-wall","hover-h3",4300,2008,"with mileage",30000,"petrol",2.4,"silver","mechanics","part-time four-wheel drive"
"renault","laguna",950,1996,"with mileage",111111,"petrol",1.8,"green","mechanics","front-wheel drive"
"volkswagen","touran",7100,2007,"with mileage",367000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"fiat","marea",856,1997,"with mileage",400000,"diesel",1.9,"white","mechanics",""
"opel","astra",3140,2002,"with mileage",258000,"petrol",2.2,"silver","mechanics","front-wheel drive"
"mitsubishi","pajero-sport",6450,2004,"with mileage",185000,"petrol",3,"black","mechanics","part-time four-wheel drive"
"alfa-romeo","156",2000,1999,"with mileage",150000,"petrol",1.8,"silver","mechanics","front-wheel drive"
"opel","omega",2550,2003,"with mileage",340000,"petrol",2.2,"gray","mechanics","rear drive"
"renault","sandero",3750,2009,"with mileage",180000,"petrol",1.2,"red","mechanics","front-wheel drive"
"opel","astra",8700,2011,"with mileage",211000,"diesel",1.3,"silver","mechanics","front-wheel drive"
"kia","sportage",13000,2011,"with mileage",142000,"diesel",1.7,"silver","mechanics","front-wheel drive"
"audi","a4",5700,2002,"with mileage",405000,"diesel",2.5,"silver","auto","front-wheel drive"
"gaz","3110",750,1998,"with mileage",11111,"petrol",2.4,"silver","mechanics","rear drive"
"volkswagen","phaeton",6500,2003,"with mileage",180000,"petrol",3.2,"silver","auto","front-wheel drive"
"honda","cr-v",17000,2012,"with mileage",95000,"petrol",2,"black","auto","part-time four-wheel drive"
"renault","logan",6500,2017,"with mileage",140000,"petrol",1.6,"white","mechanics","front-wheel drive"
"ford","mondeo",4500,2001,"with mileage",222000,"petrol",2,"silver","mechanics","front-wheel drive"
"citroen","c5",4150,2001,"with mileage",296000,"diesel",2,"other","mechanics","front-wheel drive"
"toyota","camry",7800,2007,"with mileage",195000,"petrol",2.4,"black","auto","front-wheel drive"
"great-wall","hover",6300,2008,"with mileage",153000,"diesel",2.8,"black","mechanics","part-time four-wheel drive"
"peugeot","406",2500,1999,"with mileage",240000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"kia","sorento",6000,2002,"with mileage",305000,"diesel",2.5,"white","mechanics","rear drive"
