"credit","gender","education","maritalstatus","age","default"
200000,"Female","University","Married",32,0
200000,"Female","Graduate school","Married",49,0
320000,"Male","Graduate school","Married",40,0
80000,"Female","University","Married",42,1
120000,"Male","Graduate school","Single",28,0
320000,"Female","Graduate school","Married",42,0
100000,"Female","Graduate school","Married",27,1
80000,"Female","University","Single",52,0
50000,"Female","High school","Married",56,0
100000,"Female","University","Single",27,0
160000,"Male","University","Married",40,0
180000,"Female","High school","Married",41,1
200000,"Male","University","Single",30,1
110000,"Female","Graduate school","Single",36,0
80000,"Female","University","Single",22,0
50000,"Female","High school","Married",35,0
20000,"Male","High school","Married",57,1
200000,"Male","University","Married",32,0
240000,"Male","University","Single",30,0
50000,"Female","University","Married",41,1
180000,"Female","High school","Married",43,1
160000,"Male","Graduate school","Married",51,1
280000,"Female","Graduate school","Married",29,0
40000,"Female","University","Married",33,1
100000,"Female","Graduate school","Single",25,0
280000,"Female","University","Single",27,0
50000,"Male","Graduate school","Single",55,0
50000,"Male","Graduate school","Single",30,1
400000,"Female","University","Single",31,0
330000,"Female","University","Married",30,0
210000,"Female","Graduate school","Married",39,0
80000,"Female","High school","Married",29,0
400000,"Female","Graduate school","Single",32,1
70000,"Female","Graduate school","Married",32,1
110000,"Female","University","Single",45,0
120000,"Female","University","Single",26,0
200000,"Male","University","Married",44,0
20000,"Male","University","Married",36,1
20000,"Female","University","Single",22,0
150000,"Female","University","Single",24,0
20000,"Male","University","Single",28,0
320000,"Male","Graduate school","Married",33,0
80000,"Female","University","Single",29,1
360000,"Female","University","Married",50,0
60000,"Female","University","Single",28,0
80000,"Female","University","Single",27,0
130000,"Female","University","Others",48,0
80000,"Female","Graduate school","Single",44,1
50000,"Female","High school","Married",46,1
30000,"Female","University","Married",30,0
20000,"Male","High school","Single",22,1
30000,"Male","University","Married",36,0
30000,"Female","Graduate school","Single",24,0
500000,"Male","Graduate school","Married",55,0
30000,"Male","Graduate school","Single",24,0
100000,"Male","University","Single",34,0
30000,"Female","University","Married",42,1
200000,"Female","Graduate school","Single",25,0
450000,"Male","Graduate school","Married",41,0
90000,"Male","High school","Married",46,0
20000,"Female","University","Married",46,1
30000,"Female","Graduate school","Single",25,0
320000,"Male","High school","Single",28,0
160000,"Female","Graduate school","Single",29,0
30000,"Female","High school","Single",22,0
60000,"Female","University","Married",35,0
60000,"Female","University","Single",23,0
20000,"Female","Graduate school","Single",29,0
200000,"Male","Graduate school","Single",30,0
110000,"Female","Graduate school","Single",28,0
220000,"Male","University","Single",39,0
160000,"Female","High school","Married",39,0
220000,"Female","Graduate school","Married",48,0
360000,"Female","Graduate school","Single",37,0
320000,"Male","Graduate school","Married",50,0
20000,"Male","High school","Single",40,0
270000,"Female","University","Married",37,0
170000,"Female","University","Single",29,0
200000,"Female","High school","Single",33,0
290000,"Female","University","Married",33,1
80000,"Male","University","Single",25,1
500000,"Male","High school","Single",53,0
380000,"Male","Graduate school","Married",48,0
80000,"Female","High school","Single",23,0
