"Country.Name","Covid.19.Deaths","Cardiovascular.diseases","Respiratory.diseases","Kidney.diseases","Neonatal.disorders","Meningitis","Malaria","Interpersonal.violence","HIV.AIDS","Tuberculosis","Maternal.disorders","Lower.respiratory.infections","Alcohol.use.disorders","Diarrheal.diseases","Poisoning","Nutritional.deficiencies","Alzheimer.s.disease","Parkinson.s.disease","Acute.hepatitis","Digestive.diseases","Cirrhosis.and.other.chronic.liver.diseases","Protein.energy.malnutrition","Neoplasms","Fire..heat","Drowning","Drug.use.disorders","Road.injuries","Environmental.heat.and.cold.exposure","Self.harm","Conflict.and.terrorism","Diabetes"
"Afghanistan",0.0100175682933268,0.282162265490592,0.0322328117461791,0.0256560801769573,0.107872051849222,0.00711379338594719,0.00241222680393603,0.0228251272108286,0.00144733608236162,0.0165078238073131,0.0183784374231956,0.0850969897230035,0.000669051585242634,0.0196619241377427,0.00238946994729512,0.00566190593225739,0.0080786841075216,0.00254876794378146,0.00882966037667149,0.0315364519329674,0.0172815569331039,0.00550715930709923,0.0967029866098656,0.00220741509416787,0.00767816343064165,0.00184785675924156,0.0375670189428075,0.00026853090836269,0.00734136195235625,0.110575566418162,0.0219239556878487
"Albania",0.0505456879948641,0.552279049860903,0.0348812326128825,0.0140808902204152,0.00689064840573507,0.000556387759469292,0,0.00243954632998074,8.55981168414295e-05,0.000470789642627862,0.000128397175262144,0.0195591696982666,0.000770383051572865,0.000299593408945003,0.000470789642627862,0.000213995292103574,0.0392467365717954,0.0106141664883373,4.27990584207147e-05,0.0225551037877167,0.014252086454098,0.000128397175262144,0.201369569869463,0.000770383051572865,0.00154076610314573,0.00124117269420073,0.0104001711962337,0.000171196233682859,0.00650545687994864,0,0.00748983522362508
"Algeria",0.0141606168737952,0.502086665846356,0.0385956277429146,0.0420460604569132,0.0448915138837619,0.00149706738854026,0,0.00235326688815061,0.00135351298141996,0.00228148968459046,0.00327098970509823,0.0296644928427874,0.000569090685369755,0.00270189901972848,0.00179955703211517,0.000584471514704073,0.026706246667487,0.00657786801197654,0.00132787826586276,0.0328021820269882,0.0207384848857717,0.00047167876625241,0.122103277142037,0.00400926951314548,0.00269677207661704,0.00269677207661704,0.056657848324515,0.000205077724457569,0.00776731881383044,6.66502604487101e-05,0.0273163528977482
"Andorra",0.125186289120715,0.251862891207153,0.0581222056631893,0.0238450074515648,0,0,0,0,0.00447093889716841,0,0,0.029806259314456,0.0014903129657228,0.0014903129657228,0,0,0.0536512667660209,0.0104321907600596,0.0014903129657228,0.0402384500745156,0.0178837555886736,0,0.342771982116244,0,0,0,0.0119225037257824,0,0.0119225037257824,0,0.0134128166915052
"Angola",0.000190373998373168,0.148399416186405,0.0226948881696982,0.0142145918785299,0.104930686557865,0.0145376507848601,0.0622119151047345,0.00561891740652925,0.0969292097171504,0.0677962190570141,0.0119358728070935,0.0737439642789152,0.00121723980777995,0.0746266073622817,0.00249793761501762,0.0173932607604576,0.00659386303456153,0.00154029871411017,0.00141915162423634,0.0517528830122935,0.0326866386297687,0.016764449674922,0.0737901155512481,0.00295945033834652,0.00457474486999764,0.000461512723328891,0.0533797153620279,0.00065765563074367,0.0111224566322263,9.23025446657783e-05,0.0232660101648177
"Antigua and Barbuda",0.00857632933104631,0.343053173241852,0.0188679245283019,0.0617495711835334,0.00686106346483705,0.00171526586620926,0,0.00857632933104631,0.0120068610634648,0,0,0.0514579759862779,0.0120068610634648,0.00343053173241852,0,0.00514579759862779,0.0274442538593482,0.00857632933104631,0,0.0411663807890223,0.0222984562607204,0.00514579759862779,0.236706689536878,0.00343053173241852,0.00686106346483705,0,0.0120068610634648,0,0.00514579759862779,0,0.097770154373928
"Argentina",0.113886179545759,0.267436266171711,0.0508661280697004,0.0411834761325127,0.00860212792247569,0.00119094252716427,0,0.00757418415178865,0.00467175468161348,0.00191129187030557,0.000991137599869601,0.0953384984659714,0.00215841901722266,0.00199016223634294,0.00071509131873881,0.00349658622765668,0.0316664519640036,0.00800008412839044,9.46444392448425e-05,0.0467753850845622,0.022412329015619,0.00329941031256326,0.224015500655939,0.00176669619923706,0.00148802090590502,0.000226095049307124,0.0166100990874699,0.000118305549056053,0.0132213023600643,0,0.0282934293098054
"Armenia",0.0918420368926994,0.438652896856326,0.0429657053780203,0.0145817095349441,0.00506625097427903,0.0001623798389192,0,0.00496882307092751,0.000617043387892959,0.00237074564822032,0.00025980774227072,0.0177318784099766,0.00224084177708496,0.000422187581189919,0.000584567420109119,0.00012990387113536,0.0283515198752923,0.00548843855546895,6.49519355676799e-05,0.0558586645882047,0.0361782281111977,3.247596778384e-05,0.189464796050922,0.0014614185502728,0.00142894258248896,0.0003247596778384,0.00779423226812159,0.00152637048584048,0.00932060275396207,0,0.0401078202130424
"Australia",0.00561804697156984,0.319004944375773,0.0692398022249691,0.0321817058096415,0.00300988875154512,0.000284301606922126,0,0.00199011124845488,0.000438813349814586,0.000587144622991347,8.03461063040791e-05,0.0263844252163164,0.00364647713226205,0.00140914709517923,0.000265760197775031,0.00101359703337454,0.0694684796044499,0.0148516687268232,6.18046971569839e-05,0.0409888751545117,0.0136897404202719,0.000840543881334981,0.331891223733004,0.000673671199011125,0.00121137206427689,0.00697156983930779,0.00985784919653894,0.000228677379480841,0.0179110012360939,0,0.0261990111248455
"Austria",0.0728879265183529,0.384148825946751,0.039651218291249,0.0391971967077614,0.00133878159233518,0.000360888950977311,0,0.000814910534464895,0.000407455267232447,0.000582078953189211,3.49247371913526e-05,0.01402810277186,0.00601869637597644,0.00145519738297303,0.000360888950977311,0.000139698948765411,0.0559028626642918,0.0121072422263356,3.49247371913526e-05,0.0376837914294695,0.0210596165263856,2.32831581275684e-05,0.259118266801709,0.000488946320678937,0.000651928427571916,0.00162982106892979,0.00571601532031805,0.000407455267232447,0.016507759112446,0,0.0272412950092551
"Azerbaijan",0.0339724911887827,0.536154619368137,0.0255239016197371,0.0176351583474355,0.0232208975354039,0.00078887432723016,0,0.00473324596338096,0.000470779840443805,0.00809232374384487,0.000407160943086534,0.0312241548229486,0.0028628503810772,0.00145051085974578,0.00108152125507361,0.000368989604672172,0.0119730764826384,0.00430063746135152,0.000305370707314901,0.0501953100148868,0.0396727443919942,0.000229028030486176,0.151578384843434,0.00525492092171059,0.00396981919509371,0.000496227399386714,0.0102171949155777,0.00164136755181759,0.00482231241968114,0,0.0273561258636265
"Bahamas",0.063758389261745,0.324011931394482,0.0190156599552573,0.0417598806860552,0.00782997762863535,0.00111856823266219,0,0.0413870246085011,0.0432513049962714,0.00260999254287845,0.00149142431021626,0.035048471290082,0.00671140939597315,0.00149142431021626,0.000372856077554064,0.00223713646532438,0.0227442207307979,0.00633855331841909,0,0.0443698732289336,0.023117076808352,0.00186428038777032,0.216256524981357,0.00372856077554064,0.00894854586129754,0.000745712155108128,0.0205070842654735,0.000372856077554064,0.00447427293064877,0,0.0544369873228934
"Bahrain",0.0797462618939737,0.287947439963752,0.0364748527412777,0.0398731309469869,0.00747621205256004,0.000679655641141822,0,0.00611690077027639,0.00158586316266425,0.00249207068418668,0.00113275940190304,0.0188038060715904,0.00135931128228364,0.00249207068418668,0.000453103760761214,0.000906207521522429,0.0167648391481649,0.00475758948799275,0.000906207521522429,0.0480289986406887,0.0312641594925238,0.000679655641141822,0.185092886270956,0.00339827820570911,0.00271862256456729,0.000679655641141822,0.0400996828273675,0.000226551880380607,0.0174444947893067,0,0.16039873130947
"Bangladesh",0.00908865154210759,0.389607554041847,0.0850477526101681,0.0153257026729705,0.0481964857054082,0.00278681857607127,0.00013196299757548,0.00474346993103134,0.000430679237541793,0.0348934158861855,0.00791538052730015,0.0447498521414595,0.000386291683811859,0.0395013238287984,0.000673011287634947,0.00528091923024784,0.0187315476740322,0.0053852899646939,0.00532290745674913,0.0500007797813493,0.0313891984687494,0.00273763236788405,0.127340693669495,0.00168792670535182,0.00909464986017921,0.000358699420682441,0.0103315030465457,0.000135561988418447,0.00883552251948554,0.000185947860219994,0.0397028673160046
"Barbados",0.00244755244755245,0.316433566433566,0.022027972027972,0.043006993006993,0.00699300699300699,0.00104895104895105,0,0.0115384615384615,0.00874125874125874,0.000699300699300699,0.000699300699300699,0.0573426573426573,0.0027972027972028,0.00174825174825175,0,0.0027972027972028,0.034965034965035,0.00979020979020979,0,0.0395104895104895,0.0164335664335664,0.00174825174825175,0.288461538461538,0.00174825174825175,0.0034965034965035,0.00034965034965035,0.0108391608391608,0,0.00524475524475524,0,0.109090909090909
"Belarus",0.0117285971517433,0.616623015223441,0.0199541659846129,0.00409232280242266,0.00130954329677525,0.00040104763463742,0,0.00635128498935996,0.00240628580782452,0.0024390243902439,0.000106400392862989,0.00945326567359633,0.0243329513832051,0.000106400392862989,0.00285644131609101,0.000368309052218039,0.030160419053855,0.00517269602226224,0.000155508266492061,0.0342772957930922,0.0182926829268293,0.000196431494516287,0.160975609756098,0.00557374365689966,0.00527909641512523,0.00192339171713865,0.00858569323948273,0.00506629562939925,0.0185955148142085,0,0.00321656572270421
