"m100","m400","m1500","m110hurdles","longjump","highjump","polevault","shotput","discus","javelin"
10.71,48.04,308.77,13.67,7.78,2.11,5.2,15.67,48.87,66.31
10.31,49.02,299.43,14.02,7.76,2.18,4.6,15.43,53.22,61.59
10.55,47.07,280.46,14.39,7.88,2.03,5.3,14.46,40.73,67.5
10.67,48.04,281.19,13.84,7.58,2,4.7,15.5,45.95,70.64
10.73,49.56,280.94,14.12,8.03,2.07,4.8,15.43,45.8,65.08
10.87,46.95,273.98,13.96,7.44,2.06,5,16.04,47.85,55.34
10.68,47.78,281.6,14.33,7.63,2.07,5,15.57,44.53,64.16
10.66,48.65,270.27,13.97,7.42,2.03,5.2,15.67,46.55,56.55
10.97,48.27,269.66,14.32,7.56,2.1,5.2,16.03,44.39,57.25
10.72,48.1,266.81,13.83,7.45,1.92,5,14.57,46.12,65.37
10.77,49.67,302.68,14.07,7.64,2.19,5,14.73,46.4,64.67
10.85,48.13,260.42,14.39,7.58,2.03,5,13.72,42.8,59.62
10.84,48.25,295.65,14.2,7.59,2.13,5.1,13.34,43.99,58.95
10.77,48.25,265.71,14.97,7.58,1.98,4.7,14.34,43.07,64.68
11.16,49.98,263.41,14.53,7.27,2.07,4.9,13.71,43.67,67.82
11.1,48.74,277.1,14.57,7.61,1.83,4.8,15.55,49.48,62.48
10.75,48.74,263.04,13.7,7.63,2.04,4.4,13.46,41.3,58.23
11.08,49.35,296.17,14.88,7.22,1.97,4.8,16.68,47.7,69.84
11.16,50.69,272.52,14.49,7.21,2,5,14.46,44.52,69.08
10.75,48.42,300.37,14.18,7.35,2.03,5.1,14.95,40.81,59.47
11.25,48.82,265.44,14.59,7.24,2.09,4.8,14.42,40.25,63.94
11.16,49.82,266.82,14.41,7.29,2.06,4.9,13.77,42.46,63.27
11.19,49.07,273.14,14.39,7.26,2.03,4.7,14.9,46.38,58.05
10.44,48.33,313.79,14.46,7.22,2.09,5.01,13.57,44.16,59.42
11.32,49.67,284.06,15.23,7.38,2.03,4.9,16.17,51.03,54.45
10.96,49.31,272.99,14.5,7.4,2.12,4.4,13.53,41.75,64.72
10.95,49.58,265.6,14.61,7.4,2.07,4.7,13.04,42.77,60.72
11.25,49.37,265.86,15.26,7.03,2.22,4.5,13.94,46.61,60.49
10.76,48.67,285.99,14.19,6.82,1.94,4.8,15.05,45.12,62.4
10.93,48.57,256.69,14.92,7.11,1.91,4.9,14.15,42.02,60.37
10.94,47.87,263.27,14.74,7.12,1.85,4.9,14.42,44.66,58.57
10.73,50.5,299.17,14.31,7.57,2.04,5,14.21,46.12,51.5
11.09,49.61,282.1,15.52,7.58,2,4.8,14.3,48.3,58.55
10.69,48.65,290.04,14.41,7.73,1.88,4.81,13.66,41.96,58.68
10.92,48.45,283.21,14.79,7.26,1.91,4.6,14.73,41.09,68.22
11.37,49.73,256.23,14.7,6.89,2,4.9,14.79,48.92,49.48
10.93,48.31,283.14,14.85,7.36,1.92,4.7,14.36,45.62,59.33
10.87,49.04,277.9,14.56,7.25,1.86,5.1,14.32,43.29,56.13
10.86,49.07,267.01,14.57,7.11,2.11,4.85,12.23,38.8,58.22
10.69,48.65,292.6,13.99,7.57,2,4.5,14.84,40.58,53.19
10.64,47.51,278.27,14.7,7.55,1.93,4.6,14.27,39.64,54
11.23,48.17,270.6,14.96,6.99,1.98,4.5,14.79,40.56,66.18
10.81,47.97,292.58,14.75,6.88,1.94,4.8,14.36,42.07,63.64
10.64,49.22,272.62,14.73,7.47,1.97,4.41,14.11,41.18,54.46
11.3,50.96,287.12,14.62,7.34,2.03,4.4,14.72,44.61,64.29
11.1,48.57,264.14,14.54,7.23,2.06,4.6,13.57,40.05,50.06
11.06,53.83,282.92,14.61,7.17,2.05,4.5,15.98,45.77,59.64
11.18,49.56,280.71,14.55,7.02,1.95,4.6,14.82,45.54,58.27
11.07,48.55,298.4,14.66,7.18,1.89,4.5,14.64,50.41,58.46
11.21,49.05,270.17,14.92,7.13,1.88,4.6,14.74,43.38,61.07
10.71,48.54,281.93,14.13,7.28,2,4.2,14.38,44.1,48.92
11.08,48.28,283.7,15.79,7.35,2.01,4.7,14.09,41.73,60.27
11.11,49.63,274.8,14.66,7.07,1.91,5.01,14.04,41.85,56.16
11.22,49.43,269.82,14.75,7.29,2.02,4.1,13.98,41.64,63.47
11.32,50.27,273.13,14.46,6.96,1.86,4.7,15.9,43.19,59.24
11.03,49.87,284.02,14.45,7.22,1.92,4.51,13.95,42.8,62.18
10.91,50.22,286.38,15.06,7.06,1.97,4.9,13.65,41.81,61.79
11.18,50.93,313.67,14.92,7.01,2.01,4.7,15.68,48.5,61.22
11.02,51.24,287.22,14.5,7.2,1.95,4.9,14.02,41.46,58.98
10.73,48.48,317.58,14.22,6.86,2.03,4.9,13.09,43.54,56.47
11.13,50.02,281.99,14.97,6.8,1.97,4.8,13.87,46.26,58.48
10.83,48.84,277.89,14.83,6.92,2.04,5.5,11.94,40.9,40.16
10.92,48.65,279.58,14.83,7.34,1.91,4.4,14.67,43.25,50.91
11.01,50.26,300.69,15.01,6.97,2.02,4.7,14.95,47.96,52.02
