"pealkiri","liik","aasta","tekst"
"Viljelusviisi mõju herne saagi kvaliteedile ja kasvatamise tasuvusele","2. Magistritööd","2015","Viimaste aastatega on tõusnud taimekasvatusele tehtavad kulutused tekitades olukorra, kus
tuleb ökonoomsemalt majandada. Väiketootjad on läinud üle maheviljelusele. Seevastu
suurtootjad on läinud rohkem intensiivse tootmise poole. Suurte ja laiade põllutööriistadega
saavutatakse ökonoomsem tootmine.
Uurimustöö eesmärgiks on selgitada välja kumba viljelusviisi juures on põldhernest
kasulikum kasvatada.
Põldherne katsed teostati Eesti Maaülikooli põllumajandus- ja keskkonnainstituudi, Rõhu
katsejaama Eerika katsepõllul 2012. ja 2013. aastal. Uurimustöös käsitletakse mahe- ja tava
herne võrdluskatset. Katse rajati neljas korduses ning variandid paiknesid süstematiseeritult.
Katsetes kasutati põldherne sorti „Tudor“. Katselappide suuruseks oli 60 m2
ning katselappe
oli kokku 28. Katsesüsteemideks olid maheviljeluses Mahe 0, Mahe I ja Mahe II.
Tavaviljelusvariantideks olid väetamata süsteem N0P0K0 ja väetatud süsteemid N20P25K95 (1),
-(2), ja –(3) variandid, mille eelviljad said lämmastikku vastavalt 50 kg/ha, 100 kg/ha ja 150
kg/ha.
2012. aasta herne saagikused olid madalamad tavaviljelusest. 2013. Aastal tõusid
maheviljeluses saagikused tavaviljelussüsteemidega samale tasemele. Eelvilja
enamväetamisega langesid herne saagikused.
2012. aastal oli herne kokkuostuhind 380 €/t, kuid 2013. aastal langes 348 €/t peale.
Tavaviljeluses kasvatatud herne kokkuostuhind oli 2012. aastal 250 €/t ja 2013. Aastal langes
see 190 €/t peale. Maheviljelussüsteemides kasvatatud hernes jäi mõlemal aastal kasumisse
kuid tavahernes oma madalate kokkuostuhindade tõttu jäi kahjumisse 2013 aastal.
Tavaviljeluses on mõistlik kasvatada hernest ainult lisaväetist andmata, seda kõrgete
mineraalsete väetiste hindade tõttu, mis tõstavad kulud väga suureks."
"Vahekultuuride segud","1. Bakalaureusetööd","2020","Vahekultuuride kasvatamine on kliimamuutuste ja põllumajanduse suure surve tõttu
keskkonnale muutumas järjest olulisemaks. Olulisemaks on muutunud põllumajanduse
jätkusuutlikuse arendamine vahekultuuridega. Vahekultuure kasvatatakse puhaskülvidena
ja erinevate taimeliikide segudena. Kuigi monokultuurina on vahekultuure lihtsam
külvikorda sobitada, siis segudena kasvatades on sageli suurem biomass kui üksikliigil,
toiteelementide sidumine parem ja mõju mullaomaduste parandamiseks tõhusam. Antud
bakalaureusetöö eesmärgiks oli hinnata erinevate vahekultuuride segude biomassi
moodustamise ja toitainete sidumise võimet. Töös analüüsiti 2018. ja 2019. aastal
Põllumajandus- ja Keskkonnainstituudi katsepõllul Eerikal läbiviidud katsete andmeid.
Katses kasvatati üheksat erinevat vahekultuuride segu, mis koostati erinevatest
vahekultuurideks sobivatest taimeliikidest. Katsetulemustest järeldus, et erinevad
vahekultuuride segud on erineva biomassi ja toitainete sidumise võimega. Selgus, et
toitainete sidumine olenes biomassist- suurema biomassi puhul seoti rohkem toitaineid.
Erinevate segude liigilise koosseisu võrdlustest selgus, et vahekultuuride segudesse võiks
suure biomassi moodustamiseks lisada sellised liigid nagu talivikk, kesaredis ja keerispea."
"Toidukao ja jäätmete tekkimise põhjused kalanduse esmatootmise tasandil","2. Magistritööd","2017","Toidukao ja jäätmete tekkimine on globaalse mõõtmega probleem. Seda eelkõige maailma
rahvastiku kasvu või ülemaailmset kasvavat toidunõudlust arvestades, sest maailmas on
palju neid, kes kannatavad igapäevaselt alatoituvust või nälga (iga üheksas ehk kokku
umbes 800 miljonit inimest). Euroopa Liidus visatakse kogu toidutootmise ahela lõikes
igal aastal ära ligi 88 miljonit tonni toitu ja toidujäätmeid, seejuures esmatootmistasandil
erinevates tootmisharudes on toidukadu ligikaudu üheksa miljonit tonni. Eestis on uuritud
toidukao ja jäätmete teket tarbimise tasandil, aga sarnast uuringut kalanduses esmatootmise
tasandil ei ole tehtud. Seega on sarnaselt põhjamaades tehtud uuringule vajalik uurida ka
Eestis, milliste tegevustega kaasneb peamine kadude ja jäätmete teke ning töötada välja
metoodika (lähtuvalt kalandussektori iseärasustest), mis võimaldaks kadude ja jäätmete
ulatuse määramist.
Magistritöö eesmärk on välja selgitada peamised toidukao ja jäätmete tekkepõhjused Eestis
kalanduse esmatootmise tasandil. Lisaks tuuakse töös välja uuringus osalenud kutseliste
kalurite ning kalakasvatajate hinnangutel põhinev toidukao ja jäätmete ulatus erinevates
kalanduse esmatootmise faasides.
Magistritöös kasutatakse kvalitatiivset uurimismeetodit – peronaalküsitlused ning
ankeetküsitlus esmatootjatele. Valitud tootjatega läbi viidud personaalküsitluste
eesmärgiks oli koguda tootjatelt lisainformatsiooni, mis võeti lisaks töös välja toodud
teooriale aluseks ankeetküsitluste koostatamisel kutselistele kaluritele ja kalandusettevõtetele. Andmete kogumiseks kasutati kahte eraldiseisvat ankeetküsitlust –
üks kalakasvatajatele ning teine kutselistele kaluritele.
Peamised töös saavutatud tulemused iseloomustavad toidukao ja jäätmete tekkepõhjuseid,
aga välja on toodud ka toidukao ja jäätmete hinnanguline ulatus ankeedile vastanute põhjal
Eestis kalanduse esmatootmise tasandil. Kalakasvatuste näitel oleneb toidukao ja jäätmete
hulk kasvatatavast liigist ja kala vanusest, aga üldine tendents on, et kõige suuremad kaod
(hinnanguliselt 30-40%) on kalakasvatamise protsessi algusfaasis, kus toimub marja
inkubeerimine ning maimude ja noorkalade kasvatamine. Üle 80% ankeetküsitlusele
vastanud kalakasvatajatest leidis, et väljapüügijärgselt kadusid ei teki. Kutselisel
kalapüügil kujunes ankeedile vastanud kalurite hinnangul keskmiseks vältimatuks
toidukaoks 2,31%.
Töö esimeses peatükis defineeriti ja integreeriti töösse olulised mõisted
(esmatootmistasand, toidukadu, toidujäätmed jne), mille käigus toimus sisuliselt eraldi
analüüs, kus kohandati vastav metoodika toidukao ja jäätmete mõõtmiseks Eestis
kalanduslikul esmatootmistasandil. Seega saab käesolevas magistritöös saavutatud
tulemusi (kadude ja jäätmete olemus ning põhilised tekkepõhjused kutselisel kalapüügil ja
kalakasvatuses) edukalt rakendada toidukao ja jäätmete täpse ulatuse määramiseks. Veelgi
enam, autori hinnangul on käesolev magistritöö väärtuslikuks sisendiks
Maaeluministeeriumi poolt tellitud ning Eesti Maaülikooli majandus- ja sotsiaalinstituudi
poolt teostatavale pikaajalisele (aastatel 2016-2021) uuringule „Toidujäätmete ja
toidukadude teke Eesti põllumajanduses ja kalanduses“."
"Ülevaade merekatastri olemusest","1. Bakalaureusetööd","2016","Reostus, liigne ressursside kasutamine ja muu negatiivne mõju on pannud inimkonna
olukorda, kus vajadus nendele probleemidele lahendus leida, on vältimatu. Süsteem, mille
abil oleks võimalik teostada järevalvet merekeskkonnas toimuva kohta, on üheks oluliseks
võtmeelemendiks. Seetõttu on hakatud välja töötama informatsioonisüsteemi, mis hõlmaks
kogu mereala kohta käivat andmestikku. Lõptutöö peamiseks eesmärgiks on saada
ülevaade, mida merekataster kui sedalaadi süsteem endast kujutab ning millisel moel on
seda praktikas rakendatud. Käesolev bakalaureuse lõputöö on kirjanduspõhine, mille
koostamisel on kasutatud mitmeid teemakohaseid teaduslikke artikleid ja konverentside
aruandeid.
Merekatastri puhul on tegemist süsteemiga, mis võimaldab visualiseerida ruumiliselt
erinevaid õigusi, piiranguid ja kohustusi. Samuti sisaldab see muud vajalikku
andmestikku, mille abil on võimalik teha erinevaid merekeskkonnaga seonduvaid otsuseid.
Sellise süsteemi loomine võib pealtnäha tunduda lihtne, kuid arvestades paljude erinevate
asjaoludega mis oma mõju avaldavad, on tegemist suhteliselt keeruka süsteemiga. Uurides
erinevate riikide püüdlusi paika panna merekatastri konteptsiooni, mille käigus
käsitletakse erinevaid tekkinud probleeme, on see heaks aluseks teiste riikide süsteemide
rajamisele. Lisaks on merekatastri loomist ja arendamist toetanud ka erinevad maamõõduja
katastrialased organisatsioonid.
Sellise süsteemi välja töötamine aitab paremini majandada ja hallata riigile kuuluvaid
merealasid. Samuti hõlbustab selline süsteem merealade planeerimist ning merekeskkonna
hoidmist.
Antud bakalaureuse töö tulemus võiks kaasa aidata merekatastri loomisel Eestis."
"Tihu loodusala kaitsekorralduskava 2014–2023","2. Magistritööd","2013","Tihu loodusala on rahvusvahelise tähtsusega Natura 2000 võrgustiku ala Hiiumaal, mis koosneb kolmest looduskaitselisest objektist. Loodusalal kaitstavad objektid on Tihu looduskaitseala, euroopa naaritsa Vanajõe püsielupaik ja Vanajõe hoiuala.
Käesoleva magistritöö eesmärk on koondada ja analüüsida antud ala kohta olemasolevaid andmeid, tutvustada ala väärtusi ja anda soovitusi väärtuste hoidmiseks. Magistritöö praktiliseks väljundiks on nimetatud alale kaitsekorralduskava koostamine aastateks 2014–2023.
Töö koostamisel tugineti erinevatele seadustele ja määrustele, liikide tegevuskavadele. Vajalikud andmed: elupaigatüüpide inventuurid, Maa-ameti põhikaart, maaüksuste andmed, saadi Keskkonnaametilt. Elustiku ja metsade andmed pärinevad Keskkonnaagentuurilt. Rohkelt saadi teavet erialateadmistega spetsialistidelt ja organisatsioonidelt."
"Klassifitseerimisjärgse pilditöötluse võtete rakendamine keskmise ruumilise lahutusega satelliidi Landsat OLI talvistel piltidel lageraiealade leidmisel","1. Bakalaureusetööd","2019","Satelliidipiltidelt tehtav kaugseire annab võimaluse luua andmestik, mille abil on võimalik
saada ülevaade maa peal toimuvatest muutustest. Lageraie uuendusraiena on satelliidipiltidelt
eristatav majandusliku võtte rakendus.
Bakalaureusetöö eesmärgiks oli 1) luua Lõuna-Eestis asuvast 54 km x 65 km suurusest
uuritavast alast metsakaart, kasutades satelliidipiltide vabavara-andmestikku ja tekkinud
tulemuse korrigeerimiseks vabavaralist kaardiandmestikku ja 2) lageraiealade kaardistamisel
klassifitseerimisjärgse pilditöötluse võtete katsetamine metsaga aladel toimunud suurte
muutuste tuvastamiseks ja kaardistamiseks keskmise ruumilise lahutusega satelliidipiltidelt.
Metsakaardi loomisel kasutati 1.03.2016 Landsat satelliidipilti ja järeltöötlusel Open Street
Map vabavara. Loodud metsakaarti võrreldi Eesti Põhikaardiga. Lageraiealade leidmisel
kasutati kahte talvist satelliidipilti, pildistatud 1. märtsil 2016 ja 28. veebruaril 2018. Nii
metsakaardi kui satelliidipiltide puhul kasutati pärast klassifitseerimisotsuste tegemist
mitmeid pilditöötluse võtteid. Uuritavale alale loodi kolm 10 x 10 km prooviala tulemuste
individuaalseks kontrolliks, milleks kasutati Maa-ameti ortofotosid ja RMK lageraieandmeid.
Tulemused näitasid, et loodud metsakaart sisaldas võrreldes Eesti Põhikaardiga rohkem
„prügi“. Talvistelt satelliidipiltidelt saadud lageraieandmestik kahe pildi pildistamise vahel
sisaldab tõeseid ja vale-positiivseid tulemusi. Vale-positiivsed on mingil põhjusel tekkinud
lageraiealade kujundid, mis tegelikult lageraiealad ei ole. Enamasti tekkisid vale-positiivsed
kujundid metsaservadesse, mida oli näha ka kõigil kolmel proovitükil. Loodud metsakaardilt
on võimalik näha metsasust ja kasutada kaarti lageraiealade määramisel – metsamaskina
andmete saamisel satelliidipiltidelt. Tekkinud vale-positiivsed lageraiealade kujundid
võimaldavad valida järeltöötluse otsuseid, mille tulemusena väheneb vale-positiivsete
andmete hulk andmestikes.
Klassifitseerimisjärgse pilditöötluse võtted, milleks olid pindalapiirangute kasutamine,
proovialadel kujundite individuaalne käsitlemine, puhvervööndite loomine, on vaid osa
klassifitseerimisjärgsetest pilditöötlusvõtetest, mida saab rakendada. Seda tüüpi kaugseire puhul on soovitatav kasutada pindalapiiranguid ja puhvervööndite loomist ja seejärel tekitada
proovialad, mille töötlemine annab võimaluse saada tagasisidet eelnevatele
järeltöötlusvõtetele ja selle tulemusena neid korrigeerida."
"Turbakomposiidist täiselutsükli haljastus- ja istutusplokkide arendamine","Uuringute aruanded","2019","Kokkuvõttes loeme projekt väga edukaks. Loodud on uudne ja unikaalne materjal,
mida on võimalik rakendada erinevates valdkondades.
Materjali kasutuselevõtmine toob endaga kaasa:
 oluline tööviljakuse suurenemine seni palju käsitsitööd vajavatel istutus- ja
haljastustöödel
 paljude taimekasvatuslike tööde täielik mehhaniseerimine ja
automatiseerimine
 tehnoloogia piiramatud ekspordivõimalused
 kohaliku tooraine (turba) väärindamine ja lisandväärtuse loomine
 ohtlike tootmisjääkide (põlevkivituhk) kasutamine
 jääkidevaba tehnoloogia
 süsihappegaasi emissiooni vähendamine
 valdkonnaülese kompetentsuse oluline areng
Projektis lahendati edukalt materjalitehnoloogilised küsimused. Samas suurenes
tööde maht oluliselt võrreldes planeeritud; katsetusi viidi läbi rohkem kui 180
komposiidiga; teostatud taimekatsete arve ületas 1500. Peaaegu kõigi kasutatud
taimeliikidega saavutati positiivsed tulemused.
Kahjuks tuli projekti käigus seoses ümberkorraldustega Eesti Energia töös üle minna
tolmpõletustuhalt keevkihituhale, mis suurendas oluliselt läbiviidud eksperimentide
arvu. Ka ei võimaldanus avarii Auvere elektrijaamas piisava koguse värske tuha
hankimis; seisnud tuha omadused on tänu reaktsioonidele õhus leiduva vee ja
süsihappegaasiga oluliselt halvenenud.
Töö vastu on tuntud huvi mitmel pool ja oleme seda ka võimaluste piires tutvustanud.
Kindlasti on kavas uuringute jätkamine ning saadud tulemuste
kommertsialiseerimine koostöös erinevate ettevõtetega."
"AS Rait Tartu Puiduterminali koormuse analüüs","1. Bakalaureusetööd","2019","Järgnevas lõputöös on analüüsitud AS Rait Tartu Puiduterminali töökoormust,
käsitledes igat tööprotsessi eraldi. Teemavalik tulenes autori isiklikust huvist Tartu
puiduterminali lao koormuse vastu. Soov oli saada teada, kui suur on olnud muutus
töökoormuses ja uurida, mis neid muutusi on põhjustanud. Lisaks teada saada, mida on
see ettevõtte laotöös muutnud ja kuidas oleks võimalik töökoormuse kasvuga ettevõttes
toime tulla. Töö on koostatud analüüsides AS Rait Tartu Puiduterminali laojuhataja
kogutud andmeid aastatest 2014-2018.
Töö koosneb neljast suuremast osast - esimeses kirjeldatakse ettevõtet ja tööprotsesse
Tartu Puiduterminalis. Teises osas kirjeldatakse töö metoodikat ja kasutatud materjale.
Kolmandas osas analüüsitakse ja tuuakse välja muutused töökoormuses. Töö neljandas
osas leitakse põhjused miks on töökoormus muutunud ja kuidas töökoormuse kasv on
mõjutanud ja muutnud igapäevast laotööd. Lisaks tuuakse välja ettepanekud tagamaks
lao jätkusuutlikus. Töö viimases osas prognoositakse laokoormust aastaks 2020.
Töö eesmärk on leida töökoormuse arvuline muutus, põhjused selleks ja ettepanekud,
kuidas ettevõttel oleks parem töökoormuse kasvuga toime tulla. Tööd saavad kasutada
laondusega tegelevad ettevõtted informatsiooni kogumiseks ja uute lahenduste
leidmiseks laotöös."
"Ohustatud orhidee roheka õõskeele reproduktsioonivõime ning idandamine in vitro","1. Bakalaureusetööd","2014","Käpalised on üks suurimaid ja ohustatumaid sugukondi maailmas. Antud töös valiti uurimiseks rohekas õõskeel, millel on Eestis kõrge looduskaitseline väärtus. Töö eesmärgiks on selgitada välja roheka õõskeele reproduktsioonivõime kahes Eestis säilinud populatsioonis ja teha kindlaks sobivaim sööde tema idandamiseks in vitro. 					Töös kasutatavad seemneproovid koguti kahest säilinud populatsioonist: Keemu ja Haavakannu. Õõskeele reproduktsioonivõimet hinnatakse tema viljumise protsendi, seemnete arvu kupras, normaalsete seemnete osakaalu kupras, aktiivsete seemnete osakaalu ja asümbiontse idanevuse in vito kaudu. Sobivaima söötme leidmiseks kasutatakse 8 võimalikult erineva keemilise koostisega söödet. 								Uurimuses leiti, et viljumise protsent kupras, seemnete arv kupras ja normaalsete seemnete arv kupras on hinnanguliselt heal tasemel jätkusuutlikuks populatsioonide taastootmiseks. Sarnaselt varasemate uurimustega leiti, et karjatamine ja niitmine õõskeele kasvukohal soodustab liigi reproduktsioonivõimet.							Roheka õõskeele idandamiseks leiti kaks sobivat söödet: BM2 ja ½ OSS+CO. BM2 sisaldab kasvuregulaatorit 6-bensüülaminopuriini, mis soodustab rakkude jagunemist ja glutamiini, mis on aminohapete eelane ning osaleb lämmastikühndite sünteesis. Kookospiimal, mida lisati söötmele ½ OSS+CO, on sarnane mõju 6-bensüülaminopuriiniga, lisaks soodustab ta kudede moodustumist. Samas oleks mõlema söötme paremaks muutmiseks tarvilik teha lisa katseid, täpsustamaks toitainet konsentratsioone."
"Piima progesteroonisisalduse määramise lateraalse voolu testi ja immunoensümaatilise meetodi võrdlus lehmade innatunnuste kinnitamiseks ja mittetiinuse diagnoosimiseks","2. Magistritööd","2015","Antud töö eesmärgiks oli hinnata piima progesteroonisisalduse määramise lateraalse voolu
testi (ribatesti - LFT) täpsust innatunnuste kinnitamiseks seemenduspäeval ja mittetiinete
lehmade diagnoosimisks 19, 21 ja 24 seemendusjärgsel päeval ja võrrelda tulemusi
immunoensümaatilise (EIA) meetodiga saadud tulemustega. Töös kasutatud ribatest on
väljatöötatud Suurbritannias Ridgeway Science’i poolt, (turustaja Hrimacom Ltd, Bulgaaria).
Piimaproovid koguti 70 lehmalt seemenduspäeval ja 64 lehmalt 19, 21 ja 24 seemendusjärgsel
päeval ning analüüsiti ribatesti ja EIA meetodiga). Tiinus diagnoositi rektaalsel palpatsioonil.
Mediaan väärtused ribatesti värvusklassidel: testjoon oli tumedam kui kontrolljoon, testjoon
oli võrdne kontrolljoonega, testjoon oli heledam kui kontrolljoon, testjoont ei olnud näha olid
vastavalt 0,69; 5,77; 17,08 ja 23,31 ng/ml. Ribatesti värvusklasside mediaanid erinesid
üksteisest (p<0,05) näidates, et ribatest oli võimeline eristama progesterooni
kontsentratsioone vastavalt eeltoodud värvusklassidele. Ribatesti optimaalsed
klassifitseerumiskriteeriumid eristamaks „madalat“ ja „kõrget“ piima progesteroonisisaldust
sõltusid proovide klassifitseerimise värvusklassidest. Kui testjoone värvus „tumedam“ kui
kontrolljoon klassifitseeriti „madalaks“, siis saadi ROC-kõverate analüüsil optimaalseks
klassifitseerimise kriteeriumiks 2,3 ng/ml. Kui testjoone värvus „tumedam“ või „võrdne“
kontrolljoonega klassifitseeriti „madalaks“, oli optimaalne klassifitseerimise kriteerium 6,9
ng/ml. Kõige täpsem tulemus saadi siis kui testjoon „tumedam“ kui
kontrolljoonklassifitseeriti „madalaks“ ja testjoon „heledam“ kui kontrolljoon klassifitseeriti
„kõrgeks“ ning ribatesti sensitiivsus ja spetsiifilisus piimaproovide „madalaks“ ja „kõrgeks“
klassifitseerimisel oli, vastavalt 98,6 ja 98,2%. Ribatesti testjoone värvus „võrdne“
kontrolljoonega andis võrreldes EIA-ga ebausaldusväärse piima progesterooni
kontsentratsiooni määra. Seemenduspäeval kogutud 70 piimaproovist klassifitseeris ribatest
kaks proovi „kõrgeks“ ja EIA klassifitseeris seemenduspäeval kogutud piimaproovidest kolm 
proovi „kõrgeks“ (P4>5 ng/ml). Ribatesti täpsus oli 69/70=98,6%. ROC-kõverate analüüs
näitas, et nii ribatesti kui ka EIA korral sõltus mittetiinestumise diagnoosimise täpsus
piimaproovi võtmise ajast, olles kõige täpsem 24 seemendusjärgsel päeval. Kui ribatestiga
määratud piimaproov andis tesjoonest „tumedama“ värvuse, siis mittetiinestumise
diagnoosimisel 19, 21 ja 24 seemendujärgsetel päevadel oli testi spetsiifilisus kõigil
proovivõtmise päevadel 100% ning sensitiivsus, vastavalt 40,0%, 67,5% ja 75%.
Saavutamaks mittetiinuse diagnoosimisel 100% spetsiifilisust, oli EIA meetodi optimaalne
piima progesteroonisisalduse kriteerium 4,5 ng/ml. EIA mittetiinuse diagnoosi sensitiivsus 19,
21 ja 24 seemendusjärgsetel päevadel võetud piimaproovidest oli, vastavalt 57,5%, 77,5% ja
85,0%. Saadud tulemused näitavad, et ribatest oli piisavalt usaldusväärne hindamaks piima
progesterooni kontsentratsioone seemenduspäeval luteaalfaasis seemenduste vältimiseks ja 24
seemendusjärgsel päeval mittetiinestunud lehmade leidmiseks."
