"tegevusala","Ettevõtete arv","Müügitulu, tuhat eurot","Kasum/kahjum bioloogilistelt varadelt, tuhat eurot","Ostetud kütus, tuhat eurot","Lähetuskulud, tuhat eurot","Kahjum põhivarade müügist, tuhat eurot","Ärikasum (-kahjum), tuhat eurot","Tulumaks, tuhat eurot","Aruandeaasta kasum (-kahjum), tuhat eurot","Tunnitootlikkus müügitulu alusel, eurot","Tööviljakus hõivatu kohta lisandväärtuse alusel, tuhat eurot","Investeeringud materiaalsetesse põhivaradesse, tuhat eurot","Investeeringud immateriaalsetesse põhivaradesse, tuhat eurot","Muu immateriaalne põhivara, tuhat eurot","Materiaalsete põhivarade müük müügihinnas, tuhat eurot","Müügitulu ärirentaablus, %","Varade käibesagedus, korda aastas","Lühiajaliste kohustiste kattekordaja","Finantsvõimenduse kordaja","Varade juurdekasvutempo, %"
"Kokku – kõik tegevusalad",100123,66483653.7,36821.3,984748.9,230785.9,25410.5,4490753.8,304328.1,4578203.6,87,34.8,3890497.6,270439.9,48166.2,468917.3,6.76,0.19,1.82,1.71,5.7
"Põllumajandus, metsamajandus ja kalapüük",5080,1746432.5,33248.4,106242.9,3390.3,3054.9,476102.9,19517.7,439927.7,68.9,44.9,469275.6,1019.6,378.4,102073.3,26.65,0.08,2.01,1.42,8.25
"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad",3008,915304.4,-12560.8,43808.9,737.6,2179.9,145990.1,2510.6,124148.4,58,42.4,297306.3,83,27.3,64566.6,15.34,0.1,1.59,1.88,8.31
"Metsamajandus ja metsavarumine",1900,776657.2,46011.8,53384,2481,860,322969.1,16483.1,308881.4,89.8,49.4,164125.6,651.5,79.9,31601.2,41.47,0.06,2.99,1.21,9.02
"Kalapüük ja vesiviljelus",172,54470.8,-202.6,9050,171.8,14.9,7143.6,524,6897.8,66.9,44.6,7843.7,285.1,271.2,5905.4,13.7,0.07,2.09,1.55,-3.63
"Kalapüük",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vesiviljelus",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mäetööstus",154,361997.9,5.1,20598.8,479.6,38.2,42341.9,1333.9,39547.6,73.5,49.7,42473,604.5,0,4692.2,12.11,0.14,2.58,1.45,1.89
"Toornafta ja maagaasi tootmine",2,133966.3,0,5379.3,10.7,0,18723.1,0,17228.8,58.7,46.4,17040.1,0,0,1877.1,13.98,0.11,2.77,1.46,-1.25
"Muu kaevandamine",138,215988.4,5.1,14610.7,320.3,38.2,20734.5,902.3,20013.2,84.1,51.4,24648.8,604.5,0,2639.6,10.29,0.17,2.43,1.45,4.71
"Kivi, liiva ja savi kaevandamine",92,93764.3,3.9,10519.3,113.6,22.2,10013.3,382.2,9566.5,77.8,54.5,8820.1,604,0,1970.3,10.68,0.14,2.02,1.56,3.78
"Mujal liigitamata kaevandamine",46,122224.1,1.2,4091.5,206.8,16,10721.2,520.1,10446.7,89.6,48.8,15828.7,0.5,0,669.3,9.99,0.2,2.95,1.35,5.68
"Kaevandamist abistavad tegevusalad",14,12043.2,0,608.7,148.5,0,2884.3,431.6,2305.6,163.8,110.6,784.1,0,0,175.5,23.87,0.3,3.2,1.25,15.56
"Töötlev tööstus",7981,13326795.2,1581.9,80137.9,28940.9,4236.9,652322.9,48738.1,553001.8,72.8,32.5,556264.2,42874,18980.3,58527.8,4.9,0.3,1.89,1.67,2.58
"Toiduainete tootmine",689,1882499.8,100.8,14822.8,874.3,673.8,73726.2,3908,54132.6,83,29.4,76998.4,3539,749.4,2221.8,3.95,0.32,1.5,1.85,2.9
"Liha töötlemine ja säilitamine ning lihatoodete tootmine",63,366555,-72.7,4186.9,57.5,597.4,8568.9,41.3,6192.5,77.3,28.5,10321.2,554.7,7.7,490.6,2.35,0.34,1.47,1.91,-0.49
"Kala, vähilaadsete ja limuste töötlemine ja säilitamine",70,170578.5,0,1280.3,228.5,12.1,2616,139.3,1805.6,73.1,21.9,8811.2,247.8,27.3,254.5,1.68,0.29,1.42,2.04,7.43
"Puu- ja köögivilja töötlemine ja säilitamine",90,78045.8,171.1,745.6,126.4,12.3,4186.1,56.4,3923.7,69.8,29.8,5672.2,813.7,30.3,295.2,5.36,0.26,1.88,1.91,10.79
"Taimse ja loomse õli ja rasva tootmine",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piimatoodete tootmine",37,426092,1.3,2234,70.7,18.4,17995.8,174.4,10866.6,116.3,36.4,14337.3,563.6,319.7,221.5,4.24,0.31,1.64,1.85,-0.69
"Jahu ja tangainete, tärklise ja tärklisetoodete tootmine",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagari- ja makarontoodete tootmine",205,210741.2,0,1503.5,157,23.8,9130.7,1921.7,3409,42.1,22.7,5356.1,37.3,0,511.7,4.42,0.27,1.28,1.48,-5.81
"Muude toiduainete tootmine",183,337492.5,1.1,3393.3,172.1,8.9,18951.2,1022.4,17531.5,67.2,30,20203.7,1284.3,333.6,190.9,5.63,0.33,1.59,1.76,14.55
"Valmis loomasööda tootmine",19,159570,0,849.3,8.2,1,4402.8,350.5,3267.3,343.1,52.2,9723.3,37.6,31,98.1,2.76,0.44,1.37,2.82,2.4
"Joogitootmine",126,254477.7,0.3,650.1,371.4,60.2,22256.2,3488.1,19477.8,102.8,51,17563,518.8,71.3,3424,8.79,0.16,1.39,1.58,1.21
"Tekstiilitootmine",303,353199.8,0,1378,852.5,0.9,27761.9,882.5,26274.6,52.4,25.2,18847.2,1490.4,26.8,402.1,7.94,0.31,2.88,1.69,11.6
"Tekstiilkiudude ettevalmistamine ja ketramine",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riidekudumine",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tekstiili viimistlemine",22,7403.4,0,17.6,31.1,0,393.9,12.9,348.8,38.6,23.8,949.7,1.7,0,82.7,5.32,0.19,0.5,3.11,6.85
"Muu tekstiilitootmine",260,315862.5,0,1245.5,772.7,0.9,27127.6,867.2,25704.1,50.4,25.4,17406.3,1488.7,26.8,319.4,8.68,0.3,3.32,1.64,11.49
"Rõivatootmine",504,175620.7,0,321.2,112.5,30,8556.6,578.3,6944.3,24.1,14.9,3656.2,137.3,41.6,796.3,4.92,0.26,3.65,1.42,0.84
"Rõivatootmine, v.a karusnahast rõivad",444,167254,0,250,102.6,29.6,10392.3,567.7,8948.1,24.6,15.6,3567.5,110.4,41.6,371.9,6.25,0.26,3.76,1.42,2.46
"Karusnahatoodete tootmine",10,165.6,0,0.2,0.1,0,-2.3,0,-2.3,4.4,5.9,0,0,0,0,-1.38,0.53,2.81,1.45,3.64
"Silmkoe- ja heegelrõivaste tootmine",50,8201.1,0,71,9.8,0.4,-1833.4,10.5,-2001.5,18.9,4.1,88.7,26.9,0,424.5,-22.35,0.17,2.36,1.56,-18.21
"Nahatöötlemine ja nahktoodete tootmine",72,31642,0,91.5,33.4,1.3,1536.6,141.7,1398.5,26.8,16.2,672.7,0,0,122.9,4.82,0.32,2.7,1.46,-2.25
"Nahatöötlemine ja -parkimine; kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine; karusnaha töötlemine ja värvimine",48,10050.7,0,41.6,19.8,1.3,937.2,65.5,857.7,20.6,16.3,252.2,0,0,69,9.3,0.26,2.3,1.53,3.98
"Jalatsitootmine",24,21591.2,0,49.9,13.6,0,599.4,76.2,540.8,31.1,16.2,420.5,0,0,53.9,2.75,0.35,3,1.43,-6.06
"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine",1146,2548534.6,1486.6,26485.3,2495.8,83.2,150307.6,7617.4,141704,83.9,36.5,151196.7,6369.6,171.2,8350,5.9,0.29,1.73,1.7,6.36
"Puidu saagimine ja hööveldamine",400,1064100.6,1489.7,14483.4,706.4,40,65415.5,3162.7,64993.3,118.1,43.9,68797.7,3165.6,9.8,3957.3,6.15,0.29,1.72,1.6,9.75
"Puidust, korgist, õlest ja punumismaterjalist toodete tootmine",746,1484434,-3.2,12002,1789.4,43.2,84892,4454.7,76710.6,69.5,33.4,82399.1,3204,161.4,4392.7,5.71,0.29,1.74,1.78,3.96
"Paberi ja pabertoodete tootmine",63,222515,0,8496.7,184.1,34.8,978.6,267.6,-399.9,98.6,37.6,11089.2,880.3,9.6,117.5,0.44,0.19,1.21,1.61,-3.75
"Paberimassi, paberi ja papi tootmine",4,110602.6,0,8104.7,37.5,0,-5332.2,0,-6114.3,127.8,39.6,5394,825.2,9.6,0,-4.82,0.14,1,1.56,-5.56
"Paber- ja papptoodete tootmine",59,111912.3,0,392,146.6,34.8,6310.8,267.6,5714.4,80.5,36.5,5695.3,55.1,0,117.5,5.63,0.34,1.51,1.77,0.79
"Trükindus ja salvestiste paljundus",366,216080.1,0,784.5,357.2,250.5,7778.3,696.5,5498.9,48.1,29.2,10568.9,339.5,12.4,1062.5,3.58,0.29,1.45,1.75,-8.26
"Trükindus ja selle sidusalad",362,215520.7,0,782.9,354.9,250.5,7735.9,695.7,5457.3,48.2,29.2,10568.9,339.5,12.4,1062.5,3.57,0.29,1.44,1.75,-8.29
"Salvestiste paljundus",4,559.3,0,1.6,2.4,0,42.4,0.9,41.6,34.5,15.7,0,0,0,0,7.58,0.35,2.87,1.44,7.38
"Koksi ja puhastatud naftatoodete tootmine",6,245676.5,0,1009.2,43.3,0,-12324.4,28.1,-15930.7,111.8,49.4,8754,14735.8,14728.3,417.7,-5.02,0.13,1.03,1.48,-10.03
