"price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
6.93,824.972129319955,3,2,2,"yes","no","yes","no","yes",1,"no","furnished"
6.51,766.44370122631,3,2,3,"yes","no","no","no","yes",0,"no","furnished"
6.475,688.405797101449,3,1,1,"yes","yes","yes","no","yes",2,"yes","unfurnished"
6.44,797.101449275362,5,3,2,"yes","no","no","no","no",2,"no","furnished"
6.419,627.090301003345,2,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
6.3,668.896321070234,3,2,1,"yes","no","yes","no","yes",3,"no","semi-furnished"
6.3,836.120401337793,3,1,1,"yes","no","yes","no","no",1,"yes","furnished"
6.3,594.574507617986,3,1,1,"yes","yes","yes","no","yes",1,"yes","semi-furnished"
6.293,613.154960981048,3,2,3,"yes","no","no","no","yes",0,"yes","unfurnished"
6.23,613.154960981048,3,2,1,"yes","no","yes","no","yes",0,"yes","unfurnished"
6.195,589.92939427722,3,2,3,"yes","yes","no","no","yes",0,"no","furnished"
6.125,596.432552954292,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
6.09,614.548494983278,4,2,2,"yes","yes","no","yes","no",1,"no","semi-furnished"
6.09,613.154960981048,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
6.09,777.777777777778,3,1,3,"yes","no","no","no","yes",2,"no","unfurnished"
6.02,631.73541434411,2,1,1,"yes","yes","yes","no","no",2,"no","furnished"
6.02,743.218134522482,3,1,1,"yes","yes","yes","no","yes",2,"yes","semi-furnished"
6.02,641.025641025641,3,2,1,"yes","yes","yes","no","no",0,"yes","unfurnished"
5.95,596.432552954292,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
5.95,652.173913043478,3,1,1,"yes","no","yes","no","yes",2,"yes","semi-furnished"
5.95,607.580824972129,3,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
5.95,671.776291341509,3,1,2,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
5.95,581.010776662951,4,2,1,"yes","no","yes","no","no",1,"yes","semi-furnished"
5.95,680.044593088071,4,2,2,"yes","no","no","no","no",0,"no","furnished"
5.95,606.1872909699,3,2,4,"yes","no","no","no","no",1,"no","furnished"
