"kov","Sugu.Mehed","Sugu.Naised","Kodakondsus.Eesti kodakondsus","Kodakondsus.Kodakondsus määramata","Kodakondsus.Kodakondsus teadmata","Kodakondsus.Muu riigi kodakondsus","Kodakondsus.Venemaa kodakondsus","Vanuserühm.0-14","Vanuserühm.15-29","Vanuserühm.30-49","Vanuserühm.50-64","Vanuserühm.65 ja vanemad"
"Alutaguse vald",0.473557692307692,0.526442307692308,0.871875,0.0629807692307692,0,0.00961538461538462,0.0555288461538462,0.136298076923077,0.149759615384615,0.225961538461538,0.234855769230769,0.253125
"Anija vald",0.484567407644331,0.515432592355669,0.863905325443787,0.0586918279225972,0,0.038221653606269,0.0391811930273469,0.159763313609467,0.153366384135615,0.252358867743483,0.221333759795298,0.213177674716136
"Antsla vald",0.487689393939394,0.512310606060606,0.989109848484849,0.00331439393939394,0,0.00544507575757576,0.00213068181818182,0.135890151515152,0.163589015151515,0.223958333333333,0.237926136363636,0.238636363636364
"Elva vald",0.486065796628602,0.513934203371398,0.973015225666123,0.00978792822185971,0.000407830342577488,0.0115551930396955,0.00523382272974443,0.172988036976618,0.157150625339859,0.24884448069603,0.198681348558999,0.222335508428494
"Häädemeeste vald",0.487502716800696,0.512497283199305,0.977178874157792,0.0019560965007607,0,0.0141273636166051,0.00673766572484243,0.158443816561617,0.163442729841339,0.244512062595088,0.220386872419039,0.213214518582917
"Haapsalu linn",0.454905545399147,0.545094454600853,0.919637416209628,0.0284125533211456,0,0.0183577087141987,0.0335923217550274,0.150137111517367,0.149146861669714,0.237736136502133,0.213741620962828,0.249238269347959
"Haljala vald",0.507677309285888,0.492322690714112,0.976602485985864,0.008774067755301,0,0.00901779185961492,0.00560565439922008,0.144284669753839,0.147696807214233,0.237631001706069,0.224469900073117,0.245917621252742
"Harku vald",0.495299145299145,0.504700854700855,0.941514041514041,0.0196581196581197,0.000427350427350427,0.0235653235653236,0.0148351648351648,0.223015873015873,0.148473748473748,0.322161172161172,0.182417582417582,0.123931623931624
"Hiiumaa vald",0.489819936448158,0.510180063551842,0.988937271978345,0.00129457455572555,0.00011768859597505,0.00859126750617865,0.00105919736377545,0.124161468753678,0.15240673178769,0.235847946334,0.236907143697776,0.250676709426857
"Järva vald",0.493174456270245,0.506825543729755,0.973854696899583,0.00763535400277649,0.00034706154558075,0.012494215640907,0.00566867191115224,0.162656177695511,0.158375751966682,0.237390097177233,0.211129106894956,0.230448866265618
"Jõelähtme vald",0.505092526179888,0.494907473820112,0.903600631186343,0.0342848945631904,0.00100416009180892,0.0368670205135562,0.0242432936451011,0.194520154927557,0.139147898436379,0.314158657294506,0.201262372686845,0.150910916654712
"Jõgeva vald",0.47384405132488,0.52615594867512,0.97934856882545,0.00941462303545668,0.000683319413863792,0.00751651355250171,0.00303697517272796,0.146685900842761,0.167641029534584,0.228532381747779,0.212740110849594,0.244400577025283
"Jõhvi vald",0.491678514677595,0.508321485322405,0.700175629338463,0.121100610521034,0.00083633018315631,0.0222463828719578,0.155641047085389,0.131136572718909,0.128209417077862,0.265367567115497,0.223300158902735,0.251986284184996
"Kadrina vald",0.492377420683972,0.507622579316028,0.975484136794396,0.00618046971569839,0,0.0105067985166873,0.00782859497321796,0.174907292954265,0.166666666666667,0.265348166460651,0.205397610218377,0.187680263700041
