X,Y,tyyp_t,korgus
472351.615000002,6492822.152,Sidemast,"60"
737785.630999997,6589686.447,Torn,"19"
493830.520999998,6489813.578,Sidemast,"92"
380684.420000002,6427334.88,Torn,"15"
386401.689999998,6427912.72,Sidemast,"83"
684721.751999997,6585972.199,Sidemast,"48"
390490.410999998,6427684.88,Sidemast,"100"
541128.351000004,6530218.833,Korsten,"16"
385413.866999999,6434791.939,Torn,"15"
400373.520000003,6493439.77,Torn,"30"
545816.079999998,6589961.29,Torn,"39"
395719.450000003,6441055.02,Torn,"29"
396659.303000003,6446769.19,Sidemast,"59"
396336.292999998,6448573.24,Korsten,"24"
397026.156999998,6448446.59,Korsten,"12"
396426.016999997,6447976.971,Sidemast,"100"
396685.630000003,6450247.39,Sidemast,"80"
397733.829999998,6463205.861,Korsten,"20"
398254.692000002,6461956.261,Torn,"20"
398250.740000002,6467422.62,Sidemast,"104"
546487.887999997,6588444.785,Valgusmast,"29"
528854.013999999,6575606.863,Sidemast,"37"
397370.667999998,6465112.911,Korsten,"35"
397613.457000002,6467360.944,Sidemast,"80"
397718.050999999,6466887.527,Korsten,"20"
547200.93,6587984.29,Korsten,"16"
372033.200000003,6473448.25,Torn,"15"
373806.130000003,6472875.18,Torn,"16"
541564.884999998,6590429.7,Torn,"17"
386559.280000001,6470158.26,Sidemast,"100"
386894.009000003,6428521.177,Sidemast,"60"
378893.700000003,6488023.15,Torn,"15"
378883.579999998,6487948.44,Sidemast,"95"
386208.960000001,6481786.05,Torn,"20"
386011.0,6481797.08,Sidemast,"20"
396996.219999999,6481581.77,Torn,"35"
396472.93,6482632.4,Sidemast,"82"
396819.259999998,6483042.95,Sidemast,"65"
396913.958999999,6481227.079,Valgusmast,"26"
404308.012000002,6489376.57,Sidemast,"82"
583633.714000002,6528089.52,Sidemast,"27"
533905.759999998,6520172.88,Korsten,"34"
530620.82,6525728.77,Korsten,"21"
524701.568999998,6530076.001,Sidemast,"103"
524721.759999998,6530099.07,Sidemast,"48"
546267.821999997,6541607.856,Sidemast,"40"
525843.009999998,6531558.28,Korsten,"42"
526237.259999998,6530507.86,Sidemast,"70"
648651.571000002,6561949.124,Sidemast,"26"
530991.5,6602355.79,Sidemast,"35"
558556.222999997,6609135.31,Torn,"31"
633630.175999999,6555616.48,Korsten,"23"
557036.280000001,6611587.12,Sidemast,"60"
557452.869999997,6618456.52,Sidemast,"17"
455161.247000001,6498420.444,Torn,"33"
632404.355999999,6633542.937,Sidemast,"60"
455979.18,6406747.07,Sidemast,"54"
543125.504000001,6588300.002,Torn,"28"
455072.659000002,6407401.773,Torn,"14"
543786.32,6588628.84,Korsten,"28"
543319.211000003,6588528.949,Torn,"44"
384838.609999999,6421165.45,Torn,"17"
384928.07,6421231.2,Sidemast,"40"
382698.859999999,6422869.65,Torn,"8"
596410.417999998,6568482.961,Korsten,"30"
638056.734999999,6391691.999,Torn,"21"
635272.120999999,6397103.374,Korsten,"23"
622079.571999997,6406332.672,Korsten,"18"
592235.045000002,6471740.27,Korsten,"18"
622691.82,6406590.17,Korsten,"10"
622470.170000002,6406901.72,Korsten,"16"
621245.07,6407502.44,Korsten,"45"
583649.090999998,6528710.131,Korsten,"21"
588726.600000001,6529162.36,Korsten,"45"
589365.619999997,6527986.44,Korsten,"56"
588765.520000003,6529074.42,Sidemast,"64"
586504.130999997,6526028.731,Torn,"46"
549967.612999998,6533393.238,Sidemast,"25"
548136.859999999,6530104.35,Torn,"22"
542255.799999997,6537132.98,Korsten,"30"
547476.759999998,6539996.9,Korsten,"35"
546752.663999997,6539799.403,Sidemast,"51"
545901.659999996,6539875.91,Sidemast,"65"
547780.953000002,6539730.622,Korsten,"20"
550493.993000001,6531995.506,Korsten,"17"
550686.575000003,6531674.079,Korsten,"30"
550825.265000001,6531580.949,Korsten,"34"
550671.581,6531552.374,Sidemast,"80"
569799.075999998,6533875.638,Sidemast,"80"
684449.770000003,6387614.29,Sidemast,"78"
682529.939000003,6386523.521,Sidemast,"50"
665364.234999999,6391288.469,Torn,"30"
670171.859999999,6394772.52,Sidemast,"48"
675496.556000002,6398019.23,Korsten,"32"
684647.079999998,6396577.76,Sidemast,"80"
667101.369999997,6403019.95,Sidemast,"81"
665903.799999997,6402279.2,Sidemast,"81"
666393.336000003,6405773.417,Sidemast,"90"
672732.590000004,6402691.07,Sidemast,"100"
674428.57,6400458.74,Sidemast,"80"
673259.359999999,6402120.84,Korsten,"34"
673789.307999998,6402362.838,Korsten,"25"
446725.619999997,6491246.96,Korsten,"17"
446420.361000001,6490835.036,Sidemast,"40"
452640.82,6497962.45,Torn,"20"
455155.119999997,6496139.53,Korsten,"31"
455590.200000003,6495728.85,Sidemast,"82"
517815.865000002,6553311.526,Torn,"20"
518122.869000003,6551447.95,Korsten,"29"
518448.310000002,6554076.242,Sidemast,"82"
518504.888999999,6552293.015,Sidemast,"70"
581432.291000001,6521244.902,Sidemast,"74"
682343.306999996,6401037.33,Torn,"29"
681175.380000003,6406397.48,Sidemast,"128"
687566.321999997,6407704.189,Sidemast,"80"
695431.600000001,6402468.26,Sidemast,"81"
695155.548,6403395.141,Korsten,"23"
636610.361000001,6548034.681,Sidemast,"80"
692633.219999999,6406827.65,Sidemast,"49"
624737.191,6452658.516,Sidemast,"80"
661363.869999997,6419025.08,Sidemast,"100"
666229.530000001,6418569.5,Sidemast,"80"
679640.859999999,6410445.158,Torn,"10"
679474.443999998,6414659.666,Korsten,"59"
679526.938000001,6412769.322,Korsten,"30"
677967.210000001,6411442.41,Korsten,"44"
678512.240000002,6410868.54,Korsten,"20"
678316.024999999,6414880.107,Korsten,"40"
678544.100000001,6413112.887,Korsten,"32"
679659.853,6413433.297,Sidemast,"100"
679765.048,6413586.19,Sidemast,"50"
677045.350000001,6416872.49,Torn,"23"
677115.0,6416941.32,Korsten,"44"
679798.729999997,6415208.39,Korsten,"30"
678132.759999998,6415821.49,Korsten,"21"
679308.189000003,6416259.348,Sidemast,"84"
678711.967,6416953.884,Sidemast,"100"
678257.549999997,6417577.56,Sidemast,"74"
677791.718999997,6415823.349,Torn,"40"
677957.520000003,6415821.68,Torn,"25"
677949.280000001,6415810.27,Torn,"29"
679471.5,6415442.54,Torn,"24"
628997.115000002,6517016.205,Sidemast,"25"
680400.919,6413671.22,Korsten,"25"
682445.990000002,6413302.03,Korsten,"30"
682224.203000002,6413305.503,Korsten,"44"
688707.783,6412973.514,Korsten,"21"
685343.060000002,6418791.46,Korsten,"32"
688670.623000003,6418335.737,Torn,"30"
688811.530000001,6417996.18,Korsten,"27"
688650.420000002,6416770.17,Sidemast,"80"
697455.200000003,6417899.33,Sidemast,"80"
663486.452,6429865.761,Sidemast,"20"
679007.740000002,6420948.33,Korsten,"30"
677567.869999997,6421201.4,Sidemast,"81"
690860.873000003,6427398.784,Sidemast,"100"
691515.851000004,6427825.59,Sidemast,"80"
413109.539999999,6446293.86,Torn,"36"
411749.104999997,6454079.987,Torn,"30"
412150.880000003,6453747.82,Valgusmast,"19"
412120.963,6453665.098,Valgusmast,"28"
411516.640000001,6459717.05,Torn,"25"
411405.030000001,6459667.84,Korsten,"45"
412107.25,6458898.6,Korsten,"40"
412098.939999998,6458909.66,Korsten,"30"
410154.899999999,6457780.48,Korsten,"43"
410168.659999996,6457806.49,Korsten,"25"
410476.890000001,6459371.36,Korsten,"30"
411622.0,6459630.68,Sidemast,"85"
411274.719999999,6458072.15,Sidemast,"70"
411107.251000002,6457912.616,Torn,"19"
410930.079999998,6457706.68,Torn,"28"
410944.049999997,6457707.2,Torn,"24"
411147.744000003,6458013.475,Torn,"37"
410663.960000001,6457476.84,Torn,"18"
410702.75,6457266.17,Torn,"35"
411781.142999999,6458444.866,Torn,"20"
410732.18,6457251.39,Torn,"35"
412172.192000002,6455576.193,Torn,"15"
421852.899999999,6456407.03,Sidemast,"107"
415748.310000002,6462332.71,Korsten,"13"
423918.126000002,6468537.293,Sidemast,"100"
536406.579999998,6583306.99,Korsten,"30"
536236.039999999,6583090.54,Korsten,"60"
529032.325999998,6607602.678,Torn,"28"
621581.310000002,6407560.43,Sidemast,"45"
612892.649999999,6592948.9,Sidemast,"83"
612934.93,6593009.79,Sidemast,"82"
613692.126999997,6593188.935,Sidemast,"75"
598503.409999996,6602002.82,Korsten,"25"
597426.490000002,6604652.86,Sidemast,"99"
601246.07,6602635.37,Sidemast,"60"
612542.82,6604349.37,Sidemast,"92"
575996.75,6569059.13,Sidemast,"80"
578079.498000003,6567941.357,Sidemast,"100"
593982.178000003,6566627.791,Sidemast,"80"
596192.07,6568535.95,Korsten,"27"
