"date","city","name","offer","price"
"2018-06-26","Tallinn","Foodproff Bistroo","Ahju kanakoib",3.8
"2018-08-09","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Köögivilja risotto (TAIMETOIT)",4.2
"2018-04-30","Tallinn","NO99","Koorene riisiroog peekoniga",5.5
"2018-02-26","Tallinn","Poska kohvik","Värskekapsa-hakkliha hautis keedukartuli ja hapukoorega",4.5
"2017-12-21","Tallinn","Restoran Platz","Hartšo lambaliha ja hapukoorega",4.2
"2018-08-08","Tallinn","Reval Café Viimsi","Hakkbiifsteek praemuna, tatrs, piprakastme ja paprika-herne-kapsasalatiga (SG)",4.8
"2018-06-15","Tallinn","Tark Catering","Kodune kook rabarberi ja maasikatega",2
"2018-01-31","Tartu","Sheriff Saloon","Cowboy Jack Burger (180g veiseliha pihv, cheddar juust, peekon, röstitud sibul, marineeritud suvikõrvits ja ingver, BBQ kaste, Sheriff majonees, tomat, röstitud seemned) + bataadi friikartulid",7.8
"2018-04-02","Tallinn","Tark Catering","Kanapuljong munaga ja pirukaga",2.5
"2018-08-02","Tallinn","Fe Kohvik","Seenepüreesupp",2
"2018-04-23","Tartu","Ruunipizza","Sealihakaste kartulipudru ja värske salatiga",3.5
"2018-05-14","Tallinn","Art-Salong Grao","Pannkook moosiga /hapukoorega 2tk",2
"2018-01-05","Tallinn","Krua","Tom Yum supp",4
"2017-12-27","Tallinn","Mustikas Kohvik","Kiievi kotlet",5.5
"2018-07-18","Tartu","Tartu Kohvik","Maasikavaht kohupiimaga",1.7
"2017-11-20","Tartu","La Dolce Vita","Päevapitsa: Sink ja paprika",4.9
"2017-10-13","Tallinn","Tark Catering","Tortilla singi ja juustuga",3
"2018-06-28","Tallinn","Grenka Kohvik","Puljong ja pirukas",3.5
"2018-03-08","Tallinn","Amps Merimetsa","Tomatine sealiha-köögiviljaraguu L",5.2
"2017-12-27","Tallinn","Foodproff Bistroo","Azuu veiselihast",4.1
"2017-11-28","Tartu","Mandala Restoran","Loomaliha peakoka erikastmes kookospiimaga",3.5
"2018-04-25","Tartu","Sepa Kohvik","Hakklihakaste tatraga",2.6
"2018-04-09","Tartu","Hektor Cafe","Rassolnik",2.2
"2018-01-18","Tallinn","Tööstushariduskeskuse Daily","Veisepraad punases kastmes",3.9
"2018-07-12","Tartu","Vaga Mama","Supp:Kana koriandri supp",2.2
"2018-01-11","Tallinn","City Plaza","Šašlõkk sealihast",5
"2018-01-16","Tallinn","Beer Garden","Koorene kanapasta, päikesekuivatatud tomati, värske spinati ja parmesani juustuga",4.6
"2018-05-07","Tallinn","Reval Café Viimsi","Kõrvitsapüreesupp suitsujuustu ja krutoonidega (SG)",3.2
"2018-07-09","Tallinn","iO restoran","Spaghetti carbonara",5
"2017-11-03","Tartu","Entri","Paneeritud juust aedviljasalatil",3
"2018-04-25","Tartu","Cafe Briis","Kodune seljanka",2.5
"2018-04-24","Tallinn","NO99","Chilli con carne riisiga",5.5
"2018-02-15","Tallinn","Tammsaare Ärikeskuse Daily","Pasta vormiroog muna ja aedviljadega**",1.2
"2018-08-14","Tallinn","Magdaleena Cafe","Mehhikopärane hakklihakaste",4.5
"2018-05-24","Tartu","Tartu Kohvik","Šokolaadikreem",1.7
"2018-06-05","Tallinn","Kitchen Rõõm","Pasta bolognese",4
"2018-05-30","Tallinn","Tähesaju Kohvik","Ahju seapraad",5.3
"2018-06-07","Tartu","DuNord Ujula 2 Ujula Konsumis","Lõhehakkšnitsel",3
"2018-01-26","Tartu","V café","Koorene kanasupp",3
"2018-01-09","Tallinn","Reval Café Perh Aatriumi","Hernesupp suitsulihaga (L)",3.2
