"Aasta","Tegevusala (EMTAK 2008)","Näitaja","väärtus"
"2011","Tegevusalad kokku","Meestöötajate keskmine brutotunnipalk, eurot",5.7
"2011","Tegevusalad kokku","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2011","Tegevusalad kokku","Palgalõhe, %",22.9
"2011","Põllumajandus, metsamajandus ja kalapüük","Meestöötajate keskmine brutotunnipalk, eurot",4.2
"2011","Põllumajandus, metsamajandus ja kalapüük","Naistöötajate keskmine brutotunnipalk, eurot",3.6
"2011","Põllumajandus, metsamajandus ja kalapüük","Palgalõhe, %",14.7
"2011","Mäetööstus","Meestöötajate keskmine brutotunnipalk, eurot",6.7
"2011","Mäetööstus","Naistöötajate keskmine brutotunnipalk, eurot",4.6
"2011","Mäetööstus","Palgalõhe, %",32.3
"2011","Töötlev tööstus","Meestöötajate keskmine brutotunnipalk, eurot",5.5
"2011","Töötlev tööstus","Naistöötajate keskmine brutotunnipalk, eurot",3.9
"2011","Töötlev tööstus","Palgalõhe, %",29.8
"2011","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Meestöötajate keskmine brutotunnipalk, eurot",6.9
"2011","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Naistöötajate keskmine brutotunnipalk, eurot",5.6
"2011","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Palgalõhe, %",18.3
"2011","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Meestöötajate keskmine brutotunnipalk, eurot",5.2
"2011","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Naistöötajate keskmine brutotunnipalk, eurot",4.6
"2011","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Palgalõhe, %",11.8
"2011","Ehitus","Meestöötajate keskmine brutotunnipalk, eurot",5.3
"2011","Ehitus","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2011","Ehitus","Palgalõhe, %",17.2
"2011","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Meestöötajate keskmine brutotunnipalk, eurot",6
"2011","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Naistöötajate keskmine brutotunnipalk, eurot",4.1
"2011","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Palgalõhe, %",31.8
"2011","Veondus ja laondus","Meestöötajate keskmine brutotunnipalk, eurot",4.7
"2011","Veondus ja laondus","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2011","Veondus ja laondus","Palgalõhe, %",5.6
"2011","Majutus ja toitlustus","Meestöötajate keskmine brutotunnipalk, eurot",3.8
"2011","Majutus ja toitlustus","Naistöötajate keskmine brutotunnipalk, eurot",3.1
"2011","Majutus ja toitlustus","Palgalõhe, %",18.8
"2011","Info ja side","Meestöötajate keskmine brutotunnipalk, eurot",9.3
"2011","Info ja side","Naistöötajate keskmine brutotunnipalk, eurot",6.7
"2011","Info ja side","Palgalõhe, %",27.5
"2011","Finants- ja kindlustustegevus","Meestöötajate keskmine brutotunnipalk, eurot",10.9
"2011","Finants- ja kindlustustegevus","Naistöötajate keskmine brutotunnipalk, eurot",6.8
"2011","Finants- ja kindlustustegevus","Palgalõhe, %",37.5
"2011","Kinnisvaraalane tegevus","Meestöötajate keskmine brutotunnipalk, eurot",4.1
"2011","Kinnisvaraalane tegevus","Naistöötajate keskmine brutotunnipalk, eurot",3.1
"2011","Kinnisvaraalane tegevus","Palgalõhe, %",22.9
"2011","Kutse-, teadus- ja tehnikaalane tegevus","Meestöötajate keskmine brutotunnipalk, eurot",7
"2011","Kutse-, teadus- ja tehnikaalane tegevus","Naistöötajate keskmine brutotunnipalk, eurot",5.7
"2011","Kutse-, teadus- ja tehnikaalane tegevus","Palgalõhe, %",18.3
"2011","Haldus- ja abitegevused","Meestöötajate keskmine brutotunnipalk, eurot",4.8
"2011","Haldus- ja abitegevused","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2011","Haldus- ja abitegevused","Palgalõhe, %",9
"2011","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus","Meestöötajate keskmine brutotunnipalk, eurot",6.2
"2011","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus","Naistöötajate keskmine brutotunnipalk, eurot",5.5
"2011","Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus","Palgalõhe, %",10.2
"2011","Haridus","Meestöötajate keskmine brutotunnipalk, eurot",5.6
"2011","Haridus","Naistöötajate keskmine brutotunnipalk, eurot",4.2
"2011","Haridus","Palgalõhe, %",24.7
"2011","Tervishoid ja sotsiaalhoolekanne","Meestöötajate keskmine brutotunnipalk, eurot",6.6
"2011","Tervishoid ja sotsiaalhoolekanne","Naistöötajate keskmine brutotunnipalk, eurot",4.7
"2011","Tervishoid ja sotsiaalhoolekanne","Palgalõhe, %",28.1
"2011","Kunst, meelelahutus ja vaba aeg","Meestöötajate keskmine brutotunnipalk, eurot",4.8
"2011","Kunst, meelelahutus ja vaba aeg","Naistöötajate keskmine brutotunnipalk, eurot",3.7
"2011","Kunst, meelelahutus ja vaba aeg","Palgalõhe, %",24
"2011","Muud teenindavad tegevused","Meestöötajate keskmine brutotunnipalk, eurot",3.5
"2011","Muud teenindavad tegevused","Naistöötajate keskmine brutotunnipalk, eurot",2.7
"2011","Muud teenindavad tegevused","Palgalõhe, %",23.4
"2012","Tegevusalad kokku","Meestöötajate keskmine brutotunnipalk, eurot",5.7
"2012","Tegevusalad kokku","Naistöötajate keskmine brutotunnipalk, eurot",4.3
"2012","Tegevusalad kokku","Palgalõhe, %",24.6
"2012","Põllumajandus, metsamajandus ja kalapüük","Meestöötajate keskmine brutotunnipalk, eurot",4.2
"2012","Põllumajandus, metsamajandus ja kalapüük","Naistöötajate keskmine brutotunnipalk, eurot",3.9
"2012","Põllumajandus, metsamajandus ja kalapüük","Palgalõhe, %",7
"2012","Mäetööstus","Meestöötajate keskmine brutotunnipalk, eurot",6.7
"2012","Mäetööstus","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2012","Mäetööstus","Palgalõhe, %",33.9
"2012","Töötlev tööstus","Meestöötajate keskmine brutotunnipalk, eurot",5.8
"2012","Töötlev tööstus","Naistöötajate keskmine brutotunnipalk, eurot",4
"2012","Töötlev tööstus","Palgalõhe, %",31
"2012","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Meestöötajate keskmine brutotunnipalk, eurot",6.9
"2012","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Naistöötajate keskmine brutotunnipalk, eurot",5.6
"2012","Elektrienergia, gaasi, auru ja konditsioneeritud õhuga varustamine","Palgalõhe, %",18.4
"2012","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Meestöötajate keskmine brutotunnipalk, eurot",5
"2012","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Naistöötajate keskmine brutotunnipalk, eurot",4.6
"2012","Veevarustus; kanalisatsioon, jäätme- ja saastekäitlus","Palgalõhe, %",8.2
"2012","Ehitus","Meestöötajate keskmine brutotunnipalk, eurot",5.6
"2012","Ehitus","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2012","Ehitus","Palgalõhe, %",22
"2012","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Meestöötajate keskmine brutotunnipalk, eurot",5.9
"2012","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Naistöötajate keskmine brutotunnipalk, eurot",3.9
"2012","Hulgi- ja jaekaubandus; mootorsõidukite ja mootorrataste remont","Palgalõhe, %",33.8
"2012","Veondus ja laondus","Meestöötajate keskmine brutotunnipalk, eurot",4.5
"2012","Veondus ja laondus","Naistöötajate keskmine brutotunnipalk, eurot",4.4
"2012","Veondus ja laondus","Palgalõhe, %",2.4
"2012","Majutus ja toitlustus","Meestöötajate keskmine brutotunnipalk, eurot",3.9
"2012","Majutus ja toitlustus","Naistöötajate keskmine brutotunnipalk, eurot",3.2
"2012","Majutus ja toitlustus","Palgalõhe, %",18.3
"2012","Info ja side","Meestöötajate keskmine brutotunnipalk, eurot",8.8
"2012","Info ja side","Naistöötajate keskmine brutotunnipalk, eurot",6.2
"2012","Info ja side","Palgalõhe, %",29.8
"2012","Finants- ja kindlustustegevus","Meestöötajate keskmine brutotunnipalk, eurot",11.5
"2012","Finants- ja kindlustustegevus","Naistöötajate keskmine brutotunnipalk, eurot",6.5
"2012","Finants- ja kindlustustegevus","Palgalõhe, %",43.3
"2012","Kinnisvaraalane tegevus","Meestöötajate keskmine brutotunnipalk, eurot",3.8
"2012","Kinnisvaraalane tegevus","Naistöötajate keskmine brutotunnipalk, eurot",3.2
"2012","Kinnisvaraalane tegevus","Palgalõhe, %",15.7
"2012","Kutse-, teadus- ja tehnikaalane tegevus","Meestöötajate keskmine brutotunnipalk, eurot",6.9
