"Näitaja","Tegevusala","Vaatlusperiood","PA001: KESKMINE BRUTOPALK, TÖÖJÕUKULU, TÖÖTATUD TUNNID JA TÖÖTAJATE ARV"
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2002 I kvartal",366
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2002 II kvartal",406
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2002 III kvartal",374
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2002 IV kvartal",416
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2003 I kvartal",405
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2003 II kvartal",442
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2003 III kvartal",411
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2003 IV kvartal",455
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2004 I kvartal",431
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2004 II kvartal",474
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2004 III kvartal",449
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2004 IV kvartal",492
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2005 I kvartal",475
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2005 II kvartal",530
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2005 III kvartal",498
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2005 IV kvartal",555
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2006 I kvartal",549
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2006 II kvartal",609
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2006 III kvartal",580
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2006 IV kvartal",653
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2007 I kvartal",660
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2007 II kvartal",738
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2007 III kvartal",697
"Keskmine brutokuupalk, eurot","Kokku – kõik tegevusalad","2007 IV kvartal",784
