X,Y,pohi_nr,aadr_maako,aadr_valdl,koord_x,koord_y,reg_kp,loomaliigi
686431,6399886,EE10131,VÕRU MAAKOND,RÕUGE VALD,"6399886","686431",2002/09/09 00:00:00.000,"LAMMAS;MUNAKANA"
696685,6415078,EE10132,VÕRU MAAKOND,VÕRU VALD,"6415078","696685",2002/09/09 00:00:00.000,MUNAKANA
686592,6406257,EE10133,VÕRU MAAKOND,VÕRU VALD,"6406257","686592",2002/09/09 00:00:00.000,LAMMAS
692366,6416741,EE10137,VÕRU MAAKOND,VÕRU VALD,"6416741","692366",2002/09/09 00:00:00.000,"LAMMAS;MUNAKANA"
650089,6423230,EE10144,VÕRU MAAKOND,ANTSLA VALD,"6423230","650089",2002/09/09 00:00:00.000,"KITS;MUNAKANA"
661371,6398754,EE10146,VÕRU MAAKOND,RÕUGE VALD,"6398754","661371",2002/09/09 00:00:00.000,"HANI;KITS;MUNAKANA"
653827,6389562,EE10154,VÕRU MAAKOND,RÕUGE VALD,"6389562","653827",2002/09/09 00:00:00.000,"LAMMAS;MUNAKANA"
684358,6386432,EE10159,VÕRU MAAKOND,RÕUGE VALD,"6386432","684358",2002/09/09 00:00:00.000,LAMMAS
653645,6405372,EE10169,VÕRU MAAKOND,ANTSLA VALD,"6405372","653645",2002/09/09 00:00:00.000,LAMMAS
684481,6397084,EE10172,VÕRU MAAKOND,RÕUGE VALD,"6397084","684481",2002/09/09 00:00:00.000,"LAMMAS;MUNAKANA"
695234,6422118,EE10174,VÕRU MAAKOND,VÕRU VALD,"6422118","695234",2002/09/09 00:00:00.000,LAMMAS
683069,6411404,EE10175,VÕRU MAAKOND,VÕRU VALD,"6411404","683069",2002/09/09 00:00:00.000,MUNAKANA
650863,6388954,EE10177,VÕRU MAAKOND,RÕUGE VALD,"6388954","650863",2002/09/09 00:00:00.000,"LAMMAS;MESILANE;MUNAKANA"
656097,6405243,EE10181,VÕRU MAAKOND,ANTSLA VALD,"6405243","656097",2002/09/09 00:00:00.000,MESILANE
688665,6412687,EE10189,VÕRU MAAKOND,VÕRU VALD,"6412687","688665",2002/09/09 00:00:00.000,VEIS
695149,6400400,EE10191,VÕRU MAAKOND,VÕRU VALD,"6400400","695149",2002/09/09 00:00:00.000,VEIS
648160,6421678,EE10193,VÕRU MAAKOND,ANTSLA VALD,"6421678","648160",2002/09/09 00:00:00.000,VEIS
653284,6413540,EE10194,VÕRU MAAKOND,ANTSLA VALD,"6413540","653284",2002/09/09 00:00:00.000,VEIS
651382,6420224,EE10197,VÕRU MAAKOND,ANTSLA VALD,"6420224","651382",2002/09/09 00:00:00.000,VEIS
660477,6415498,EE10204,VÕRU MAAKOND,VÕRU VALD,"6415498","660477",2002/09/09 00:00:00.000,VEIS
670547,6388489,EE10206,VÕRU MAAKOND,RÕUGE VALD,"6388489","670547",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
672432,6402749,EE10208,VÕRU MAAKOND,RÕUGE VALD,"6402749","672432",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
684759,6393243,EE10210,VÕRU MAAKOND,RÕUGE VALD,"6393243","684759",2002/09/09 00:00:00.000,MUNAKANA
698438,6402431,EE10215,VÕRU MAAKOND,VÕRU VALD,"6402431","698438",2002/09/09 00:00:00.000,VEIS
684106,6392697,EE10217,VÕRU MAAKOND,RÕUGE VALD,"6392697","684106",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
669045,6400550,EE10219,VÕRU MAAKOND,RÕUGE VALD,"6400550","669045",2002/09/09 00:00:00.000,VEIS
702848,6408817,EE10226,VÕRU MAAKOND,SETOMAA VALD,"6408817","702848",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
649866,6385945,EE10227,VÕRU MAAKOND,RÕUGE VALD,"6385945","649866",2002/09/09 00:00:00.000,VEIS
649891,6385956,EE10228,VÕRU MAAKOND,RÕUGE VALD,"6385956","649891",2002/09/09 00:00:00.000,VEIS
646769,6415456,EE10229,VÕRU MAAKOND,ANTSLA VALD,"6415456","646769",2002/09/09 00:00:00.000,VEIS
645931,6419205,EE10230,VÕRU MAAKOND,ANTSLA VALD,"6419205","645931",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
649485,6417922,EE10233,VÕRU MAAKOND,ANTSLA VALD,"6417922","649485",2002/09/09 00:00:00.000,VEIS
651213,6417090,EE10234,VÕRU MAAKOND,ANTSLA VALD,"6417090","651213",2002/09/09 00:00:00.000,VEIS
650916,6387252,EE10235,VÕRU MAAKOND,RÕUGE VALD,"6387252","650916",2002/09/09 00:00:00.000,"MUNAKANA;PART;SIGA"
667000,6386250,EE10237,VÕRU MAAKOND,RÕUGE VALD,"6386250","667000",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
658307,6413162,EE10238,VÕRU MAAKOND,VÕRU VALD,"6413162","658307",2002/09/09 00:00:00.000,MUNAKANA
651677,6415497,EE10244,VÕRU MAAKOND,ANTSLA VALD,"6415497","651677",2002/09/09 00:00:00.000,"MUNAKANA;VEIS"
686425,6414504,EE10245,VÕRU MAAKOND,VÕRU VALD,"6414504","686425",2002/09/09 00:00:00.000,VEIS
687622,6416908,EE10247,VÕRU MAAKOND,VÕRU VALD,"6416908","687622",2002/09/09 00:00:00.000,VEIS
705428,6414814,EE10248,VÕRU MAAKOND,SETOMAA VALD,"6414814","705428",2002/09/09 00:00:00.000,"LAMMAS;MUNAKANA;VEIS"
652081,6382221,EE10253,VÕRU MAAKOND,RÕUGE VALD,"6382221","652081",2002/09/09 00:00:00.000,HOBUNE
691120,6393904,EE10256,VÕRU MAAKOND,RÕUGE VALD,"6393904","691120",2002/09/09 00:00:00.000,VEIS
684060,6399226,EE10261,VÕRU MAAKOND,RÕUGE VALD,"6399226","684060",2002/09/09 00:00:00.000,"KITS;LAMMAS"
655380,6391193,EE10265,VÕRU MAAKOND,RÕUGE VALD,"6391193","655380",2002/09/09 00:00:00.000,VEIS
695400,6407536,EE10273,VÕRU MAAKOND,VÕRU VALD,"6407536","695400",2002/09/09 00:00:00.000,VEIS
687388,6400826,EE10293,VÕRU MAAKOND,RÕUGE VALD,"6400826","687388",2002/09/09 00:00:00.000,MUNAKANA
678959,6390831,EE1517,VÕRU MAAKOND,RÕUGE VALD,"6390831","678959",2002/09/09 00:00:00.000,VEIS
684695,6392291,EE10295,VÕRU MAAKOND,RÕUGE VALD,"6392291","684695",2002/09/09 00:00:00.000,VEIS
684612,6392293,EE10296,VÕRU MAAKOND,RÕUGE VALD,"6392293","684612",2002/09/09 00:00:00.000,VEIS
703581,6405355,EE10297,VÕRU MAAKOND,SETOMAA VALD,"6405355","703581",2002/09/09 00:00:00.000,MUNAKANA
656750,6388590,EE10316,VÕRU MAAKOND,RÕUGE VALD,"6388590","656750",2002/09/09 00:00:00.000,VEIS
690308,6393427,EE1532,VÕRU MAAKOND,RÕUGE VALD,"6393427","690308",2002/09/10 00:00:00.000,SIGA
684357,6401554,EE10332,VÕRU MAAKOND,RÕUGE VALD,"6401554","684357",2002/09/10 00:00:00.000,VEIS
706076,6403180,EE10338,VÕRU MAAKOND,SETOMAA VALD,"6403180","706076",2002/09/10 00:00:00.000,VEIS
615302,6443024,EE10392,VILJANDI MAAKOND,VILJANDI VALD,"6443024","615302",2002/09/10 00:00:00.000,VEIS
632062,6445199,EE10497,TARTU MAAKOND,ELVA VALD,"6445199","632062",2002/09/10 00:00:00.000,VEIS
648143,6446971,EE10548,VALGA MAAKOND,OTEPÄÄ VALD,"6446971","648143",2002/09/11 00:00:00.000,VEIS
678101,6427393,EE10813,PÕLVA MAAKOND,PÕLVA VALD,"6427393","678101",2002/09/12 00:00:00.000,VEIS
677976,6427279,EE10814,PÕLVA MAAKOND,PÕLVA VALD,"6427279","677976",2002/09/12 00:00:00.000,VEIS
660548,6443084,EE10816,PÕLVA MAAKOND,KANEPI VALD,"6443084","660548",2002/09/12 00:00:00.000,VEIS
667112,6440056,EE10827,PÕLVA MAAKOND,KANEPI VALD,"6440056","667112",2002/09/12 00:00:00.000,VEIS
667760,6439111,EE10828,PÕLVA MAAKOND,KANEPI VALD,"6439111","667760",2002/09/12 00:00:00.000,VEIS
670476,6438457,EE10829,PÕLVA MAAKOND,KANEPI VALD,"6438457","670476",2002/09/12 00:00:00.000,VEIS
660677,6438836,EE10831,PÕLVA MAAKOND,KANEPI VALD,"6438836","660677",2002/09/12 00:00:00.000,VEIS
684486,6434346,EE10841,PÕLVA MAAKOND,PÕLVA VALD,"6434346","684486",2002/09/12 00:00:00.000,VEIS
696841,6443979,EE10842,PÕLVA MAAKOND,RÄPINA VALD,"6443979","696841",2002/09/12 00:00:00.000,VEIS
696512,6416883,EE10851,VÕRU MAAKOND,VÕRU VALD,"6416883","696512",2002/09/12 00:00:00.000,VEIS
701875,6441674,EE10853,PÕLVA MAAKOND,RÄPINA VALD,"6441674","701875",2002/09/12 00:00:00.000,"HANI;MUNAKANA;PART;VEIS"
