"koht","rahvaarv"
"Kogu Eesti",1331824
"Linnaline asustuspiirkond",815003
"Väikelinnaline asustuspiirkond",121647
"Maaline asustuspiirkond",395174
"Põhja-Eesti",614567
"Kesk-Eesti",121935
"Kirde-Eesti",132741
"Lõuna-Eesti",316853
"Lääne-Eesti",145728
"HARJU MAAKOND",614567
"Tallinn",437817
"Haabersti linnaosa",46750
"Kesklinna linnaosa",64551
"Kristiine linnaosa",32705
"Lasnamäe linnaosa",115038
"Mustamäe linnaosa",66333
"Nõmme linnaosa",34680
"Pirita linnaosa",17354
"Põhja-Tallinna linnaosa",60406
"Anija vald",6262
"Kehra linn asustusüksusena",2759
"Anija vald, va Kehra linn asustusüksusena",3503
"Harku vald",16380
"Jõelähtme vald",6970
"Keila linn",10499
"Kiili vald",6165
"Kose vald",7451
"Kuusalu vald",6242
"Loksa linn",2615
"Lääne-Harju vald",12997
"Paldiski linn asustusüksusena",3719
"Lääne-Harju vald, va Paldiski linn asustusüksusena",9278
"Maardu linn",16170
"Raasiku vald",5115
"Rae vald",22900
"Saku vald",11001
"Saue vald",24111
"Saue linn asustusüksusena",5826
"Saue vald, va Saue linn asustusüksusena",18285
"Viimsi vald",21872
"HIIU MAAKOND",8497
"Hiiumaa vald",8497
"Kärdla linn asustusüksusena",3046
"Hiiumaa vald, va Kärdla linn asustusüksusena",5451
"IDA-VIRU MAAKOND",132741
"Alutaguse vald",4167
"Jõhvi vald",11948
"Jõhvi linn asustusüksusena",10482
"Jõhvi vald, va Jõhvi linn asustusüksusena",1466
"Kohtla-Järve linn",33499
"Ahtme linnaosa",15602
"Järve linnaosa",15656
"Kukruse linnaosa",467
"Oru linnaosa",996
"Sompa linnaosa",754
"Lüganuse vald",8223
"Kiviõli linn asustusüksusena",4854
"Püssi linn asustusüksusena",868
"Lüganuse vald, va Kiviõli ja Püssi linn asustusüksusena",2501
"Narva linn",53955
"Narva-Jõesuu linn",4175
"Narva-Jõesuu linn asustusüksusena",2536
"Narva-Jõesuu linn, va Narva-Jõesuu linn asustusüksusena",1639
"Sillamäe linn",12439
"Toila vald",4335
"JÕGEVA MAAKOND",27858
"Jõgeva vald",13186
"Jõgeva linn asustusüksusena",5222
"Jõgeva vald, va Jõgeva linn asustusüksusena",7964
"Mustvee vald",4982
"Mustvee linn asustusüksusena",1159
"Mustvee vald, va Mustvee linn asustusüksusena",3823
"Põltsamaa vald",9690
"Põltsamaa linn asustusüksusena",4150
"Põltsamaa vald, va Põltsamaa linn asustusüksusena",5540
"JÄRVA MAAKOND",29697
"Järva vald",8632
"Paide linn",10439
"Paide linn asustusüksusena",7926
"Paide linn, va Paide linn asustusüksusena",2513
"Türi vald",10626
