"x","y","arv06","arv11","arv18"
5032000,3925000,0,0,0
5031000,3926000,0,0,0
5032000,3926000,0,0,0
5102000,3926000,0,0,0
5103000,3926000,0,0,0
5104000,3926000,0,0,2
5105000,3926000,0,0,4
5106000,3926000,4,2,6
5030000,3927000,0,0,0
5031000,3927000,0,0,0
5032000,3927000,2,0,2
5102000,3927000,0,0,0
5103000,3927000,0,0,0
5104000,3927000,16,3,3
5105000,3927000,0,0,4
5106000,3927000,0,0,3
5029000,3928000,0,0,0
5030000,3928000,0,0,0
5031000,3928000,0,0,0
5032000,3928000,0,0,3
5033000,3928000,0,0,1
5102000,3928000,0,0,0
5103000,3928000,12,3,0
5104000,3928000,25,26,120
5105000,3928000,0,0,1
5106000,3928000,0,0,0
5029000,3929000,0,0,0
5030000,3929000,0,0,0
5031000,3929000,0,0,0
5032000,3929000,0,0,2
5033000,3929000,0,0,2
5102000,3929000,0,0,0
5103000,3929000,33,20,0
5104000,3929000,6,1,0
5105000,3929000,0,0,2
5029000,3930000,0,0,0
5030000,3930000,0,0,0
5031000,3930000,0,0,0
5032000,3930000,0,0,2
5033000,3930000,3,1,5
5034000,3930000,1,2,2
5102000,3930000,0,0,0
5103000,3930000,0,0,0
5104000,3930000,0,0,0
5027000,3931000,0,0,0
5028000,3931000,10,4,2
5029000,3931000,1,0,3
5030000,3931000,0,0,1
5031000,3931000,0,0,0
5032000,3931000,0,0,0
5033000,3931000,0,2,2
5034000,3931000,3,0,3
5035000,3931000,0,0,1
5027000,3932000,1,0,1
5028000,3932000,3,1,7
5029000,3932000,0,0,0
5030000,3932000,0,0,0
5031000,3932000,0,0,0
5032000,3932000,0,1,2
5033000,3932000,0,0,3
5034000,3932000,7,4,6
5035000,3932000,0,0,4
5036000,3932000,0,0,0
5027000,3933000,0,0,3
5028000,3933000,0,0,1
5029000,3933000,0,0,1
5030000,3933000,1,0,4
5031000,3933000,0,0,6
5032000,3933000,8,5,4
5033000,3933000,1,1,3
5034000,3933000,3,1,3
5035000,3933000,0,0,2
5036000,3933000,0,0,0
5026000,3934000,0,0,1
5027000,3934000,0,0,2
5028000,3934000,3,2,4
5029000,3934000,0,0,3
5030000,3934000,26,21,3
5031000,3934000,22,16,10
5032000,3934000,0,0,10
5033000,3934000,3,3,2
