TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011
0,0,CRS3035RES1000mN3925000E5032000,0
0,0,CRS3035RES1000mN3926000E5031000,0
0,0,CRS3035RES1000mN3926000E5032000,0
0,0,CRS3035RES1000mN3926000E5102000,0
0,0,CRS3035RES1000mN3926000E5103000,0
2,0,CRS3035RES1000mN3926000E5104000,0
4,0,CRS3035RES1000mN3926000E5105000,0
6,4,CRS3035RES1000mN3926000E5106000,2
0,0,CRS3035RES1000mN3927000E5030000,0
0,0,CRS3035RES1000mN3927000E5031000,0
2,2,CRS3035RES1000mN3927000E5032000,0
0,0,CRS3035RES1000mN3927000E5102000,0
0,0,CRS3035RES1000mN3927000E5103000,0
3,16,CRS3035RES1000mN3927000E5104000,3
4,0,CRS3035RES1000mN3927000E5105000,0
3,0,CRS3035RES1000mN3927000E5106000,0
0,0,CRS3035RES1000mN3928000E5029000,0
0,0,CRS3035RES1000mN3928000E5030000,0
0,0,CRS3035RES1000mN3928000E5031000,0
3,0,CRS3035RES1000mN3928000E5032000,0
1,0,CRS3035RES1000mN3928000E5033000,0
0,0,CRS3035RES1000mN3928000E5102000,0
0,12,CRS3035RES1000mN3928000E5103000,3
120,25,CRS3035RES1000mN3928000E5104000,26
1,0,CRS3035RES1000mN3928000E5105000,0
0,0,CRS3035RES1000mN3928000E5106000,0
0,0,CRS3035RES1000mN3929000E5029000,0
0,0,CRS3035RES1000mN3929000E5030000,0
0,0,CRS3035RES1000mN3929000E5031000,0
2,0,CRS3035RES1000mN3929000E5032000,0
2,0,CRS3035RES1000mN3929000E5033000,0
0,0,CRS3035RES1000mN3929000E5102000,0
0,33,CRS3035RES1000mN3929000E5103000,20
0,6,CRS3035RES1000mN3929000E5104000,1
2,0,CRS3035RES1000mN3929000E5105000,0
0,0,CRS3035RES1000mN3930000E5029000,0
0,0,CRS3035RES1000mN3930000E5030000,0
0,0,CRS3035RES1000mN3930000E5031000,0
2,0,CRS3035RES1000mN3930000E5032000,0
5,3,CRS3035RES1000mN3930000E5033000,1
2,1,CRS3035RES1000mN3930000E5034000,2
0,0,CRS3035RES1000mN3930000E5102000,0
0,0,CRS3035RES1000mN3930000E5103000,0
0,0,CRS3035RES1000mN3930000E5104000,0
0,0,CRS3035RES1000mN3931000E5027000,0
2,10,CRS3035RES1000mN3931000E5028000,4
3,1,CRS3035RES1000mN3931000E5029000,0
1,0,CRS3035RES1000mN3931000E5030000,0
0,0,CRS3035RES1000mN3931000E5031000,0
0,0,CRS3035RES1000mN3931000E5032000,0
2,0,CRS3035RES1000mN3931000E5033000,2
3,3,CRS3035RES1000mN3931000E5034000,0
1,0,CRS3035RES1000mN3931000E5035000,0
1,1,CRS3035RES1000mN3932000E5027000,0
7,3,CRS3035RES1000mN3932000E5028000,1
0,0,CRS3035RES1000mN3932000E5029000,0
0,0,CRS3035RES1000mN3932000E5030000,0
0,0,CRS3035RES1000mN3932000E5031000,0
2,0,CRS3035RES1000mN3932000E5032000,1
3,0,CRS3035RES1000mN3932000E5033000,0
6,7,CRS3035RES1000mN3932000E5034000,4
4,0,CRS3035RES1000mN3932000E5035000,0
0,0,CRS3035RES1000mN3932000E5036000,0
3,0,CRS3035RES1000mN3933000E5027000,0
1,0,CRS3035RES1000mN3933000E5028000,0
1,0,CRS3035RES1000mN3933000E5029000,0
4,1,CRS3035RES1000mN3933000E5030000,0
6,0,CRS3035RES1000mN3933000E5031000,0
4,8,CRS3035RES1000mN3933000E5032000,5
3,1,CRS3035RES1000mN3933000E5033000,1
3,3,CRS3035RES1000mN3933000E5034000,1
2,0,CRS3035RES1000mN3933000E5035000,0
0,0,CRS3035RES1000mN3933000E5036000,0
1,0,CRS3035RES1000mN3934000E5026000,0
2,0,CRS3035RES1000mN3934000E5027000,0
4,3,CRS3035RES1000mN3934000E5028000,2
3,0,CRS3035RES1000mN3934000E5029000,0
3,26,CRS3035RES1000mN3934000E5030000,21
10,22,CRS3035RES1000mN3934000E5031000,16
10,0,CRS3035RES1000mN3934000E5032000,0
2,3,CRS3035RES1000mN3934000E5033000,3
2,0,CRS3035RES1000mN3934000E5034000,0
1,0,CRS3035RES1000mN3934000E5035000,0
2,0,CRS3035RES1000mN3934000E5036000,0
1,0,CRS3035RES1000mN3934000E5037000,0
0,0,CRS3035RES1000mN3935000E5027000,0
10,8,CRS3035RES1000mN3935000E5028000,0
8,7,CRS3035RES1000mN3935000E5029000,6
3,0,CRS3035RES1000mN3935000E5030000,0
31,26,CRS3035RES1000mN3935000E5031000,16
34,38,CRS3035RES1000mN3935000E5032000,29
0,0,CRS3035RES1000mN3935000E5033000,0
0,0,CRS3035RES1000mN3935000E5034000,0
2,0,CRS3035RES1000mN3935000E5035000,0
8,12,CRS3035RES1000mN3935000E5036000,11
5,0,CRS3035RES1000mN3935000E5037000,0
0,0,CRS3035RES1000mN3935000E5038000,0
0,0,CRS3035RES1000mN3935000E5039000,0
0,1,CRS3035RES1000mN3936000E5028000,0
8,4,CRS3035RES1000mN3936000E5029000,2
1,0,CRS3035RES1000mN3936000E5030000,0
3,0,CRS3035RES1000mN3936000E5031000,1
3,0,CRS3035RES1000mN3936000E5032000,0
1,0,CRS3035RES1000mN3936000E5033000,0
0,0,CRS3035RES1000mN3936000E5034000,0
2,0,CRS3035RES1000mN3936000E5035000,0
6,16,CRS3035RES1000mN3936000E5036000,10
