"nr","pealkiri","esitaja","liik","aasta","taktsagedus","elavus","tantsitavus","valjusus","publik","rõõmsus","pikkus","akustilisus","kõne","menukus"
3,"Clint Eastwood","Gorillaz","other",2001,168,69,66,-9,7,52,"341",2,17,69
5,"Waitin' On A Sunny Day","Bruce Springsteen","classic rock",2002,106,82,58,-5,10,87,"256",1,3,59
11,"Love Me Tender","Elvis Presley","adult standards",2002,109,5,44,-16,11,31,"162",88,4,49
15,"Fluorescent Adolescent","Arctic Monkeys","other",2007,112,81,65,-5,14,82,"173",0,3,66
16,"Zonder Jou","Paul de Leeuw","dutch cabaret",2006,133,42,42,-10,16,25,"236",84,4,48
18,"Uninvited","Alanis Morissette","alternative rock",2005,127,54,38,-5,9,19,"276",2,3,57
19,"Music","John Miles","other",2004,87,31,27,-13,63,12,"352",1,3,46
23,"Als De Morgen Is Gekomen","Jan Smit","dutch pop",2006,96,89,63,-6,9,81,"176",5,3,55
24,"Somebody Told Me","The Killers","modern rock",2004,138,99,51,-3,12,65,"197",0,9,69
27,"Smokers Outside the Hospital Doors","Editors","other",2007,123,68,53,-4,12,55,"298",0,4,56
28,"Cleanin' Out My Closet","Eminem","other",2002,148,76,91,-5,8,87,"298",7,17,71
29,"Der Weg","Herbert Grönemeyer","other",2008,142,24,34,-11,12,19,"259",92,4,48
30,"7 Seconds (feat. Neneh Cherry)","Youssou N'Dour","other",2004,154,70,68,-10,33,51,"306",8,3,59
32,"Big Log - 2006 Remaster","Robert Plant","album rock",2007,181,59,56,-9,20,68,"306",32,3,57
33,"Chasing Pavements","Adele","british soul",2008,80,47,62,-6,11,33,"211",31,3,63
41,"Don't Let Me Be Misunderstood","Santa Esmeralda","disco",2003,118,82,67,-9,5,78,"629",3,8,59
45,"Breaking the Habit","Linkin Park","alternative metal",2003,100,85,58,-5,9,58,"197",11,3,65
46,"Come Undone","Robbie Williams","dance pop",2002,168,57,38,-5,35,26,"278",4,3,56
48,"Run","Snow Patrol","irish rock",2004,75,64,37,-6,17,20,"355",0,3,65
49,"You're The First, The Last, My Everything","Barry White","adult standards",2009,131,72,64,-7,14,80,"213",1,4,67
52,"Dansen Aan Zee","BLØF","dutch pop",2000,194,43,35,-11,10,26,"275",16,3,52
57,"Sometimes You Can't Make It On Your Own","U2","irish rock",2004,96,60,53,-6,11,35,"305",0,2,57
66,"Crazy","Seal","british soul",2004,103,86,63,-7,7,73,"357",21,5,63
68,"In The Army Now","Status Quo","album rock",2002,105,73,68,-8,14,94,"281",11,2,59
69,"I Surrender","Saybia","other",2004,136,43,28,-7,6,7,"219",28,3,55
70,"Maybe Tomorrow","Stereophonics","other",2003,81,65,50,-7,33,57,"273",22,4,64
72,"No One Knows","Queens of the Stone Age","alternative metal",2002,171,58,51,-5,37,67,"279",3,6,65
73,"Where Do You Go To (My Lovely) - Re-Recorded","Peter Sarstedt","other",2008,183,44,56,-8,12,44,"288",29,3,58
77,"Ne me quitte pas","Jacques Brel","other",2004,101,24,42,-11,19,30,"229",82,5,58
78,"Sad Man's Tongue","Volbeat","alternative metal",2007,110,96,43,-4,17,56,"186",0,4,57
84,"Sorry Seems To Be The Hardest Word","Blue","other",2004,79,60,56,-7,38,44,"210",18,3,58
90,"Times Like These","Foo Fighters","alternative metal",2002,145,91,38,-4,24,27,"266",0,9,65
97,"Valerie (feat. Amy Winehouse) - Version Revisited","Mark Ronson","dance pop",2007,106,84,70,-5,12,89,"219",0,5,62
103,"Girl","Anouk","dutch indie",2004,136,80,67,-5,6,79,"211",1,3,56
105,"Ik Wou Dat Ik Jou Was","Veldhuis & Kemper","dutch cabaret",2003,160,61,36,-6,11,49,"237",54,4,58
112,"Everybody's Changing","Keane","modern rock",2004,94,84,52,-4,10,46,"215",0,3,54
114,"Bloed, Zweet En Tranen","Andre Hazes","dutch pop",2002,68,72,60,-4,35,37,"242",8,3,59
116,"Europa (Earth's Cry Heaven's Smile)","Santana","other",2007,75,67,30,-5,15,68,"306",3,5,59
117,"Feeling Good","Muse","modern rock",2001,109,42,35,-8,10,27,"199",30,3,51
120,"Sweet Disposition","The Temper Trap","other",2009,129,82,53,-7,12,34,"231",7,4,64
121,"Single Ladies (Put a Ring on It)","Beyoncé","dance pop",2008,193,58,43,-5,19,27,"193",4,30,70
130,"Papillon","Editors","other",2009,126,95,51,-5,30,63,"324",0,6,56
131,"Sadeness","Enigma","other",2001,96,64,59,-10,9,49,"256",9,3,58
134,"Zij","Marco Borsato","dutch cabaret",2002,58,40,25,-9,9,11,"245",45,4,52
135,"Tribute","Tenacious D","alternative metal",2001,94,77,37,-6,9,42,"248",18,7,59
138,"Love Is A Battlefield","Pat Benatar","album rock",2001,91,63,67,-12,10,86,"245",1,5,54
139,"Home","Michael Bublé","adult standards",2005,128,37,61,-9,11,35,"226",84,3,64
140,"Sonne","Rammstein","alternative metal",2001,75,92,51,-5,40,31,"272",1,9,60
142,"She Sells Sanctuary","The Cult","album rock",2000,139,77,55,-9,13,42,"253",0,3,63
145,"A Little Less Conversation - JXL Radio Edit Remix","Elvis Presley","adult standards",2002,115,97,60,-6,13,72,"212",0,5,64
148,"Zij Maakt Het Verschil","De Poema's","dutch pop",2003,173,55,34,-8,12,36,"280",33,4,54
150,"Black Magic Woman","Santana","other",2007,124,55,50,-7,9,63,"196",68,3,62
155,"A Gentleman's Excuse Me","Fish","album rock",2008,126,17,33,-14,32,19,"259",86,4,44
156,"God Put a Smile upon Your Face","Coldplay","other",2002,127,56,61,-6,4,24,"297",18,3,64
159,"Accidentally In Love","Counting Crows","alternative rock",2004,138,93,55,-4,9,81,"189",4,4,59
160,"It's Raining Men","The Weather Girls","disco",2008,136,93,66,-6,70,46,"212",46,16,58
161,"One Word","Anouk","dutch indie",2004,92,57,62,-8,11,34,"243",10,3,52
164,"Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder","Ramses Shaffy","dutch cabaret",2006,130,32,53,-17,97,46,"281",53,8,41
170,"Speeltuin","Marco Borsato","dutch cabaret",2002,112,8,53,-16,11,31,"135",92,5,50
171,"Comptine d'un autre été, l'après-midi","Yann Tiersen","other",2001,100,19,48,-15,11,6,"141",99,5,56
172,"Sweet Goodbyes","Krezip","dutch indie",2009,110,33,63,-9,11,47,"193",74,3,56
173,"The Man Who Can't Be Moved","The Script","other",2008,100,63,61,-5,10,33,"241",43,3,64
179,"Another 45 Miles","Golden Earring","album rock",2008,91,59,56,-10,23,48,"284",28,3,50
185,"Virtual Insanity - Remastered","Jamiroquai","other",2006,92,95,66,-5,14,52,"229",13,11,69
199,"Dakota","Stereophonics","other",2005,147,93,51,-3,9,31,"297",13,7,68
200,"Time To Say Goodbye (Con Te Partirò)","Sarah Brightman","other",2006,105,44,29,-7,10,45,"246",91,3,59
201,"Green Eyes","Coldplay","other",2002,130,41,61,-9,23,23,"223",54,3,63
202,"Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit","Delerium","other",2004,138,85,60,-6,6,9,"235",1,6,58
203,"De Kapitein Deel II","Acda en de Munnik","dutch cabaret",2000,115,61,67,-11,11,67,"181",41,3,51
205,"Pak Maar M'n Hand","Nick & Simon","dutch pop",2007,166,57,32,-5,11,38,"212",38,3,59
209,"Oerend Hard","Normaal","other",2008,127,66,66,-10,8,84,"225",12,10,52
211,"White Flag","Dido","dance pop",2003,170,54,51,-7,9,28,"241",31,4,54
212,"Heaven Must Be Missing An Angel - Pt. 1","Tavares","adult standards",2004,117,75,61,-9,39,97,"394",1,3,49
227,"One","Mary J. Blige","dance pop",2005,186,87,34,-3,13,27,"260",8,8,61
230,"Sinds 1 Dag Of 2 (32 Jaar)","Doe Maar","dutch cabaret",2008,114,60,88,-11,14,96,"201",28,4,53
231,"Feeling Good","Michael Bublé","adult standards",2005,115,55,54,-7,12,48,"237",53,4,64
233,"Song 2","Blur","alternative rock",2000,130,71,66,-7,7,86,"122",0,9,64
234,"I Would Stay","Krezip","dutch indie",2000,95,26,47,-11,12,27,"232",82,4,55
238,"Woman","Wolfmother","alternative rock",2006,113,95,22,-4,16,17,"176",0,18,62
245,"So Incredible","Ilse DeLange","other",2008,104,86,54,-6,72,75,"177",11,3,54
247,"Will You Be There - Single Version","Michael Jackson","pop",2005,83,63,41,-7,8,44,"220",51,7,53
251,"Dochters","Marco Borsato","dutch cabaret",2008,128,52,64,-10,11,36,"270",57,3,57
254,"Amsterdam","Coldplay","other",2002,73,18,26,-10,12,11,"319",84,3,57
255,"Time Is Running Out","Muse","modern rock",2004,118,84,59,-6,9,43,"237",0,6,69
258,"Hometown Glory","Adele","british soul",2008,123,34,45,-9,10,21,"269",96,4,59
269,"Teardrops","Womack & Womack","disco",2001,133,72,87,-10,18,97,"229",9,5,61
270,"The Rising","Bruce Springsteen","classic rock",2002,110,76,50,-6,9,33,"287",7,3,53
274,"Iedereen Is Van De Wereld","The Scene","other",2007,118,73,45,-7,29,38,"228",0,4,50
275,"Gold","Spandau Ballet","dance rock",2000,143,74,71,-8,10,64,"231",26,4,66
276,"All Night Long (All Night) - Single Version","Lionel Richie","adult standards",2003,109,58,74,-12,5,78,"260",12,5,64
277,"Can't Stop Loving You - 2016 Remaster","Phil Collins","other",2002,100,78,60,-6,11,42,"256",1,3,62
278,"City Of Blinding Lights","U2","irish rock",2004,139,77,44,-4,11,20,"346",0,3,60
286,"La Isla Bonita","Madonna","dance pop",2009,100,83,71,-5,6,97,"243",39,4,66
289,"Sorry - (Live in Tivoli)","Kyteman","dutch indie",2009,68,47,35,-9,66,20,"150",94,4,47
290,"Black or White - Single Version","Michael Jackson","pop",2005,115,89,74,-4,9,96,"203",8,5,64
292,"Ironic","Alanis Morissette","alternative rock",2005,171,64,46,-6,19,29,"229",25,6,62
