"lon","lat","nädalapäev","sündmus","koht","kahjusumma"
548500,6589000,"Reede","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
540000,6589500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6590500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
569500,6439500,"Pühapäev","vandalism","avalik_koht,bussipeatus","0-499"
557000,6594000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
540500,6590500,"Neljapäev","avaliku_korra_rikkumine,vandalism","avalik_koht,tanav_valjak","0-499"
547000,6588500,"Pühapäev","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
539500,6588000,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
547000,6588500,"Laupäev","vandalism","avalik_koht,trepikoda_koridor","0-499"
634000,6581000,"Reede","vandalism","avalik_koht,kauplus","0-499"
549500,6590500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
538000,6585000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6586000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6588500,"Teisipäev","tulekahju,vandalism","avalik_koht,parkla,tanav_valjak","5000-49999"
540500,6588500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
553000,6593000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
547500,6590500,"Neljapäev","vandalism","avalik_koht,parkla","0-499"
547500,6588500,"Kolmapäev","vandalism","avalik_koht,uhissoiduk","0-499"
542000,6589000,"Pühapäev","vandalism","avalik_koht,soogikoht","0-499"
513000,6582000,"Reede","vandalism","avalik_koht","0-499"
543000,6586500,"Neljapäev","vandalism","avalik_koht,parkla","0-499"
542500,6588500,"Teisipäev","vandalism","avalik_koht,kaubamaja","500-4999"
538500,6585500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
550000,6590000,"Laupäev","vandalism","avalik_koht,parkla","500-4999"
538000,6585500,"Laupäev","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
542000,6588500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6587500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
536000,6579000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
541500,6589500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
538500,6583000,"Laupäev","vandalism","avalik_koht","0-499"
540500,6587000,"Laupäev","vandalism","avalik_koht,tanav_valjak,uhissoiduk","0-499"
544000,6589000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6583000,"Kolmapäev","vandalism","avalik_koht,parkla","0-499"
536000,6578000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
593500,6471000,"Laupäev","vandalism","avalik_koht,muu koht","500-4999"
633000,6495000,"Reede","vandalism","avalik_koht","0-499"
543500,6588000,"Reede","ju_liik_covid_19,muu,vandalism","avalik_koht","0-499"
549500,6589500,"Kolmapäev","vandalism","avalik_koht,kauplus","0-499"
539000,6589500,"Reede","tulekahju,vandalism","avalik_koht,tanav_valjak","0-499"
621500,6405000,"Reede","vandalism","avalik_koht","0-499"
546500,6589500,"Neljapäev","vandalism","apteek,avalik_koht","0-499"
546000,6588500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
547500,6589500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
544500,6587500,"Pühapäev","pisivargus,vandalism","avalik_koht,kauplus","0-499"
547000,6591500,"Reede","vandalism","avalik_koht,muu koht","0-499"
566000,6561000,"Reede","ju_liik_covid_19,muu,vandalism","avalik_koht,kauplus","0-499"
575000,6577000,"Reede","avaliku_korra_rikkumine,vandalism","muu koht","0-499"
541500,6589500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6588500,"Esmaspäev","vandalism","avalik_koht,bussijaam_bussiterminaal","0-499"
542000,6589500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
588000,6527500,"Pühapäev","vandalism","avalik_koht","0-499"
540000,6590500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6589500,"Kolmapäev","vandalism","avalik_koht,hotell_motell","0-499"
539000,6590500,"Kolmapäev","vandalism","avalik_koht","0-499"
544500,6588000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
550000,6589500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
545500,6588000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
544000,6588000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
550500,6589500,"Teisipäev","vandalism","avalik_koht,parkla","0-499"
543000,6588500,"Esmaspäev","vandalism","avalik_koht,soogikoht","0-499"
621000,6405500,"Pühapäev","vandalism","avalik_koht","0-499"
545000,6584000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6589000,"Neljapäev","vandalism","avalik_koht,kaubamaja","0-499"
539000,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
541000,6590000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
541500,6589500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
539500,6589000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
