"tegevusala","Töötajate aastakeskmine arv","Täistööajale taandatud töötajate arv","Müük mitteresidentidele, tuhat eurot","Müügi eesmärgil ostetud kaubad, kinnisvara ja teenused, tuhat eurot","Riigilõiv, tuhat eurot","Kulu ebatõenäoliselt laekuvatest nõuetest, tuhat eurot","Intressitulu, tuhat eurot","Tööviljakus hõivatu kohta müügitulu alusel, tuhat eurot","Tunnitootlikkus lisandväärtuse alusel, eurot","Arvutid ja arvutisüsteemid, tuhat eurot","Maa, tuhat eurot","Kontsessioonid, patendid, litsentsid, kaubamärgid, tuhat eurot","Omakapitali puhasrentaablus, %","Varade puhasrentaablus, %","Majandustegevuse kasumi osatähtsus müügitulus, %","Maksueelse kasumi ja intressikulu osatähtsus müügitulus, %","Müügitulu puhasrentaablus, %","Materiaalsete põhivarade käibesagedus, korda aastas","Käibekapitali osatähtsus müügitulus, %","Intresside kattekordaja"
"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad",9430,9093,31858.3,28725.7,67.7,429.6,1432.7,101.7,24.2,136.3,41501.1,5.9,10.12,5.39,13.21,15.63,12.94,0.57,26.26,6.44
"Mäetööstus",3090,3050,82674.2,7249,35.9,158,281.2,117.2,31.2,59.3,641.1,601.8,8.91,6.13,11.29,12.48,10.92,1.05,39.12,10.5
"Toornafta ja maagaasi tootmine",1523,1523,56,313.5,11.6,0,10.4,88,30.9,35.7,0,0,7.94,5.43,12.86,14.71,12.86,0.68,47.96,7.96
"Kaevandamist abistavad tegevusalad",40,40,6711.7,0,2.4,18.4,4.5,302.1,60,0,32.4,0,28.62,22.9,22.65,22.94,19.08,2.1,28.34,77.99
"Kala, vähilaadsete ja limuste töötlemine ja säilitamine",1386,1355,107933.6,6557.9,6.9,93.8,284.3,123.6,12.9,20.9,22.1,206.7,2.54,1.25,1.14,1.99,1.05,2.51,10.21,2.32
"Nahatöötlemine ja -parkimine; kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine; karusnaha töötlemine ja värvimine",296,292,6121.6,757.9,10.3,3.2,0.1,34.1,9.8,0,0,0,13.4,8.77,9.16,9.29,8.51,3.07,35.75,72.3
"Jalatsitootmine",452,437,14382.9,480.2,0.7,104.8,3.5,48.3,10.5,1.9,0,0,5.07,3.55,2.83,2.99,2.48,6.25,33.58,18.24
"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine",17280,17132,1523563,55419.8,226.5,1078.3,4521.2,147.6,20.8,496.5,6928.1,105.9,10.85,6.39,5.85,6.53,5.55,2.7,14.5,9.58
"Trükindus ja salvestiste paljundus",2610,2583,88287.3,850.6,15.2,103.8,209.7,83.2,16.9,98.3,0,1.7,5.16,2.96,2.85,3.45,2.53,2.43,10.84,5.8
"Trükindus ja selle sidusalad",2601,2574,88073.3,849,15.2,103.8,208.4,83.3,16.9,98.3,0,1.7,5.13,2.94,2.84,3.44,2.52,2.43,10.79,5.77
"Muude keemiatoodete tootmine",193,193,21685.4,3138.3,0.9,33.4,50.9,231.1,44.6,0,734,0,24.33,17.63,18.61,18.66,15.36,3.8,29.44,351.67
"Keemilise kiu tootmine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Relva- ja laskemoonatootmine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
