"x","y","maakond","registreeriti","loomad"
686431,6399886,"võru maakond","2002","lammas;munakana"
696685,6415078,"võru maakond","2002","munakana"
686592,6406257,"võru maakond","2002","lammas"
692366,6416741,"võru maakond","2002","lammas;munakana"
650089,6423230,"võru maakond","2002","kits;munakana"
661371,6398754,"võru maakond","2002","hani;kits;munakana"
653827,6389562,"võru maakond","2002","lammas;munakana"
684358,6386432,"võru maakond","2002","lammas"
653645,6405372,"võru maakond","2002","lammas"
684481,6397084,"võru maakond","2002","lammas;munakana"
695234,6422118,"võru maakond","2002","lammas"
683069,6411404,"võru maakond","2002","munakana"
650863,6388954,"võru maakond","2002","lammas;mesilane;munakana"
656097,6405243,"võru maakond","2002","mesilane"
688665,6412687,"võru maakond","2002","veis"
695149,6400400,"võru maakond","2002","veis"
648160,6421678,"võru maakond","2002","veis"
653284,6413540,"võru maakond","2002","veis"
651382,6420224,"võru maakond","2002","veis"
660477,6415498,"võru maakond","2002","veis"
670547,6388489,"võru maakond","2002","munakana;veis"
672432,6402749,"võru maakond","2002","munakana;veis"
684759,6393243,"võru maakond","2002","munakana"
698438,6402431,"võru maakond","2002","veis"
684106,6392697,"võru maakond","2002","munakana;veis"
669045,6400550,"võru maakond","2002","veis"
702848,6408817,"võru maakond","2002","munakana;veis"
649866,6385945,"võru maakond","2002","veis"
649891,6385956,"võru maakond","2002","veis"
646769,6415456,"võru maakond","2002","veis"
645931,6419205,"võru maakond","2002","munakana;veis"
649485,6417922,"võru maakond","2002","veis"
651213,6417090,"võru maakond","2002","veis"
650916,6387252,"võru maakond","2002","munakana;part;siga"
667000,6386250,"võru maakond","2002","munakana;veis"
658307,6413162,"võru maakond","2002","munakana"
651677,6415497,"võru maakond","2002","munakana;veis"
686425,6414504,"võru maakond","2002","veis"
687622,6416908,"võru maakond","2002","veis"
705428,6414814,"võru maakond","2002","lammas;munakana;veis"
652081,6382221,"võru maakond","2002","hobune"
691120,6393904,"võru maakond","2002","veis"
684060,6399226,"võru maakond","2002","kits;lammas"
655380,6391193,"võru maakond","2002","veis"
695400,6407536,"võru maakond","2002","veis"
687388,6400826,"võru maakond","2002","munakana"
678959,6390831,"võru maakond","2002","veis"
684695,6392291,"võru maakond","2002","veis"
684612,6392293,"võru maakond","2002","veis"
703581,6405355,"võru maakond","2002","munakana"
656750,6388590,"võru maakond","2002","veis"
690308,6393427,"võru maakond","2002","siga"
684357,6401554,"võru maakond","2002","veis"
706076,6403180,"võru maakond","2002","veis"
615302,6443024,"viljandi maakond","2002","veis"
632062,6445199,"tartu maakond","2002","veis"
648143,6446971,"valga maakond","2002","veis"
678101,6427393,"põlva maakond","2002","veis"
677976,6427279,"põlva maakond","2002","veis"
660548,6443084,"põlva maakond","2002","veis"
667112,6440056,"põlva maakond","2002","veis"
667760,6439111,"põlva maakond","2002","veis"
670476,6438457,"põlva maakond","2002","veis"
660677,6438836,"põlva maakond","2002","veis"
684486,6434346,"põlva maakond","2002","veis"
696841,6443979,"põlva maakond","2002","veis"
696512,6416883,"võru maakond","2002","veis"
701875,6441674,"põlva maakond","2002","hani;munakana;part;veis"
653676,6441533,"põlva maakond","2002","lammas"
659786,6433899,"põlva maakond","2002","lammas"
668185,6433822,"põlva maakond","2002","munakana"
642334,6425823,"valga maakond","2002","mesilane"
638940,6403839,"valga maakond","2002","hobune;munakana;veis"
636744,6400283,"valga maakond","2002","veis"
644731,6415000,"valga maakond","2002","veis"
644686,6414969,"valga maakond","2002","kalkun;munakana;part;veis"
640359,6422289,"valga maakond","2002","munakana;veis"
632499,6430436,"valga maakond","2002","munakana"
632513,6430483,"valga maakond","2002","veis"
637817,6403148,"valga maakond","2002","veis"
616722,6424645,"valga maakond","2002","munakana;veis"
637068,6400889,"valga maakond","2002","veis"
628315,6438876,"tartu maakond","2002","veis"
613345,6428242,"valga maakond","2002","hobune;veis"
644202,6437133,"valga maakond","2002","hobune"
637275,6403718,"valga maakond","2002","veis"
639830,6400480,"valga maakond","2002","lammas"
642642,6420909,"valga maakond","2002","munakana;veis"
636544,6423490,"valga maakond","2002","veis"
637418,6444260,"tartu maakond","2002","veis"
634170,6416471,"valga maakond","2002","veis"
620882,6425478,"valga maakond","2002","munakana"
641313,6403012,"valga maakond","2002","veis"
622368,6418549,"valga maakond","2002","lammas;munakana"
641695,6403952,"valga maakond","2002","munakana;veis"
647195,6419826,"võru maakond","2002","veis"
673300,6405326,"võru maakond","2002","veis"
649744,6418649,"võru maakond","2002","veis"
653532,6404924,"võru maakond","2002",""
654328,6406241,"võru maakond","2002","veis"
654873,6406975,"võru maakond","2002","veis"
655363,6407728,"võru maakond","2002",""
655456,6407879,"võru maakond","2002","veis"
655497,6408149,"võru maakond","2002","veis"
700812,6436267,"põlva maakond","2002","lammas"
666921,6419511,"võru maakond","2003","kuulik"
702742,6408836,"võru maakond","2003","veis"
664385,6388994,"võru maakond","2003","veis"
690335,6429258,"põlva maakond","2003","lammas"
650637,6417435,"võru maakond","2003",""
651161,6414236,"võru maakond","2003","veis"
652416,6413738,"võru maakond","2003","veis"
650690,6417080,"võru maakond","2003","haug;karpkala;linask"
674949,6418969,"võru maakond","2003","kits;lammas;munakana"
