"Aasta","Kaubagrupp","Kuu","Tarbijahinnaindeks"
1998,"Kokku","Jaanuar",105.58
1998,"Kokku","Veebruar",106.59
1998,"Kokku","Märts",107.43
1998,"Kokku","Aprill",107.9
1998,"Kokku","Mai",108.28
1998,"Kokku","Juuni",108.48
1998,"Kokku","Juuli",109.1
1998,"Kokku","August",108.95
1998,"Kokku","September",108.89
1998,"Kokku","Oktoober",109.07
1998,"Kokku","November",109.05
1998,"Kokku","Detsember",109.17
1998,"Toit ja mittealkohoolsed joogid","Jaanuar",104.15
1998,"Toit ja mittealkohoolsed joogid","Veebruar",105.23
1998,"Toit ja mittealkohoolsed joogid","Märts",105.89
1998,"Toit ja mittealkohoolsed joogid","Aprill",106.37
1998,"Toit ja mittealkohoolsed joogid","Mai",106.37
1998,"Toit ja mittealkohoolsed joogid","Juuni",106.27
1998,"Toit ja mittealkohoolsed joogid","Juuli",106.49
1998,"Toit ja mittealkohoolsed joogid","August",105.78
1998,"Toit ja mittealkohoolsed joogid","September",104.19
1998,"Toit ja mittealkohoolsed joogid","Oktoober",103.49
1998,"Toit ja mittealkohoolsed joogid","November",102.7
1998,"Toit ja mittealkohoolsed joogid","Detsember",101.84
1998,"Alkohoolsed joogid ja tubakatooted","Jaanuar",105.72
1998,"Alkohoolsed joogid ja tubakatooted","Veebruar",108.73
1998,"Alkohoolsed joogid ja tubakatooted","Märts",110.43
1998,"Alkohoolsed joogid ja tubakatooted","Aprill",111.57
1998,"Alkohoolsed joogid ja tubakatooted","Mai",112.75
1998,"Alkohoolsed joogid ja tubakatooted","Juuni",113.56
1998,"Alkohoolsed joogid ja tubakatooted","Juuli",113.64
1998,"Alkohoolsed joogid ja tubakatooted","August",113.74
1998,"Alkohoolsed joogid ja tubakatooted","September",113.78
1998,"Alkohoolsed joogid ja tubakatooted","Oktoober",114.52
1998,"Alkohoolsed joogid ja tubakatooted","November",115.43
1998,"Alkohoolsed joogid ja tubakatooted","Detsember",116.15
1998,"Riietus ja jalatsid","Jaanuar",106.92
1998,"Riietus ja jalatsid","Veebruar",107.63
1998,"Riietus ja jalatsid","Märts",108.51
1998,"Riietus ja jalatsid","Aprill",109.93
1998,"Riietus ja jalatsid","Mai",110.61
1998,"Riietus ja jalatsid","Juuni",111.16
1998,"Riietus ja jalatsid","Juuli",111.65
1998,"Riietus ja jalatsid","August",112.62
1998,"Riietus ja jalatsid","September",114.35
1998,"Riietus ja jalatsid","Oktoober",115.97
1998,"Riietus ja jalatsid","November",117.21
1998,"Riietus ja jalatsid","Detsember",117.97
1998,"Eluase","Jaanuar",107.45
1998,"Eluase","Veebruar",108.91
1998,"Eluase","Märts",109.63
1998,"Eluase","Aprill",109.65
1998,"Eluase","Mai",110.47
1998,"Eluase","Juuni",110.45
1998,"Eluase","Juuli",112.22
1998,"Eluase","August",112.28
1998,"Eluase","September",112.6
1998,"Eluase","Oktoober",113.14
1998,"Eluase","November",113.68
1998,"Eluase","Detsember",114.11
1998,"Majapidamine","Jaanuar",101.62
1998,"Majapidamine","Veebruar",102.22
1998,"Majapidamine","Märts",102.76
1998,"Majapidamine","Aprill",103.26
1998,"Majapidamine","Mai",103.76
1998,"Majapidamine","Juuni",103.76
1998,"Majapidamine","Juuli",103.84
1998,"Majapidamine","August",103.9
1998,"Majapidamine","September",104.07
1998,"Majapidamine","Oktoober",104.17
1998,"Majapidamine","November",104.19
1998,"Majapidamine","Detsember",104.38
1998,"Tervishoid","Jaanuar",103.48
1998,"Tervishoid","Veebruar",103.95
1998,"Tervishoid","Märts",103.92
1998,"Tervishoid","Aprill",104.23
1998,"Tervishoid","Mai",104.54
1998,"Tervishoid","Juuni",104.61
1998,"Tervishoid","Juuli",104.7
