"channel","region","fresh","milk","groceries","frozen","cleaning","meat"
"retail","Other",12669,9656,7561,214,2674,1338
"retail","Other",7057,9810,9568,1762,3293,1776
"retail","Other",6353,8808,7684,2405,3516,NA
"horeca","Other",13265,1196,4221,6404,507,1788
"retail","Other",22615,5410,7198,3915,1777,NA
"retail","Other",9413,8259,5126,666,1795,1451
"retail","Other",12126,3199,6975,480,3140,545
"retail","Other",7579,4956,9426,1669,3321,2566
"horeca","Other",5963,3648,6192,425,1716,750
"retail","Other",6006,11093,18881,1159,7425,2098
"retail","Other",3366,5403,12974,4400,5977,1744
"retail","Other",13146,1124,4523,1420,549,497
"retail","Other",31714,12319,11757,287,3881,2931
"retail","Other",21217,6208,14982,3095,6707,602
"retail","Other",24653,9465,12091,294,5058,2168
"horeca","Other",10253,1114,3821,397,964,412
"retail","Other",1020,8816,12121,134,4508,1080
"horeca","Other",5876,6157,2933,839,370,NA
"retail","Other",18601,6327,10099,2205,2767,3181
"horeca","Other",7780,2495,9464,669,2518,501
"retail","Other",17546,4519,4602,1066,2259,2124
"horeca","Other",5567,871,2010,3383,375,569
"horeca","Other",31276,1917,4469,NA,2381,NA
"retail","Other",26373,NA,22019,5154,4337,NA
"retail","Other",22647,9776,13792,2915,4482,NA
"retail","Other",16165,4230,7595,201,4003,57
"horeca","Other",9898,961,2861,3151,242,833
"horeca","Other",14276,803,3045,485,100,518
"retail","Other",4113,NA,NA,1158,8604,NA
"horeca","Other",NA,2100,2609,1200,1107,823
"horeca","Other",18815,3610,11107,1148,2134,2963
"horeca","Other",2612,4339,3133,2088,820,985
"horeca","Other",21632,1318,2886,266,918,405
"horeca","Other",29729,4786,7326,6130,361,1083
"horeca","Other",1502,1979,2262,425,483,395
"retail","Other",688,5491,11091,833,4239,436
"horeca","Other",29955,4362,5428,1729,862,NA
"retail","Other",15168,10556,12477,1920,6506,714
"retail","Other",4591,NA,16709,33,6956,433
"horeca","Other",NA,555,902,NA,212,2916
"horeca","Other",24025,4332,4757,NA,1145,NA
"horeca","Other",19176,3065,5956,2033,2575,2802
"retail","Other",10850,7555,14961,188,6899,46
"retail","Other",630,11095,NA,787,NA,72
"retail","Other",9670,7027,10471,541,4618,65
"retail","Other",5181,NA,21531,1740,7353,NA
"retail","Other",3103,14069,21955,1668,6792,1452
"retail","Other",NA,NA,NA,7782,NA,NA
"retail","Other",11519,6152,10868,584,5121,1476
"retail","Other",4967,NA,NA,1798,NA,1163
"horeca","Other",6269,1095,1980,3860,609,2162
"horeca","Other",3347,4051,6996,239,1538,301
"retail","Other",NA,3916,5876,532,2587,1278
"retail","Other",491,10473,11532,744,5611,224
"horeca","Other",27329,1449,1947,2436,204,1333
